timestamp,interface,released_plot_mw,corrected_operator_mw,observed_mw,positive_limit_mw,released_paper_error_pct,pf_success
18-Feb-2019 17:00:00,Central East,3013.9340047218,3013.9340047218,2609.00916666667,2760,-14.6711897846064,1
18-Feb-2019 17:00:00,UpNY-Coned,-878.075683548688,1934.67346798652,1872.4475,5700,48.2547926938366,1
18-Feb-2019 17:00:00,Dun/SPR-South,3466.4850940944,2031.36333333334,2071.425,4600,-30.3273933498783,1
18-Feb-2019 18:00:00,Dysinger East,224.730824734335,1692.3867724457,1720.53583333333,3150,47.4858732888571,1
18-Feb-2019 18:00:00,West Central,-1620.50879808093,941.178834382932,939.035833333333,9999,25.5980061147542,1
18-Feb-2019 18:00:00,Total East,4919.55454441653,4919.55454441653,4519.89583333333,6800,-5.87733398651764,1
18-Feb-2019 18:00:00,Moses South,172.216548507257,2100.8075796959,1889.95,3150,54.5312206823093,1
18-Feb-2019 18:00:00,Central East,3076.14702595696,3076.14702595696,2659.8425,2763.33333333333,-15.0653025074895,1
18-Feb-2019 18:00:00,UpNY-Coned,-969.53908071009,2038.28533463012,1992.26083333333,5700,51.9614020007618,1
18-Feb-2019 18:00:00,Dun/SPR-South,3581.43686647632,1930.74666666668,2092.66916666667,4600,-32.3645152132533,1
18-Feb-2019 19:00:00,Dysinger East,299.948850512457,1438.76223572587,1510.74833333333,3150,38.4380788197104,1
18-Feb-2019 19:00:00,West Central,-1685.95045563782,715.230672250377,761.395,9999,24.4759021465928,1
18-Feb-2019 19:00:00,Total East,4872.66280945433,4872.66280945433,4645.20666666667,6800,-3.34494327628915,1
18-Feb-2019 19:00:00,Moses South,184.128673817156,2118.66549200566,1958.24416666667,3150,56.3211267571273,1
18-Feb-2019 19:00:00,Central East,3022.19146294839,3022.19146294839,2674.55083333333,2780,-12.5050586192466,1
18-Feb-2019 19:00:00,UpNY-Coned,-985.124350741561,2093.39464732599,1995.58,5700,52.2930587849397,1
18-Feb-2019 19:00:00,Dun/SPR-South,3493.48039127973,2058.89666666665,2228.6475,4600,-27.4963672017333,1
18-Feb-2019 20:00:00,Dysinger East,330.491669499256,1499.64730019675,1470.17583333333,3150,36.1804496455263,1
18-Feb-2019 20:00:00,West Central,-1696.27824470682,819.583717584516,767.34,9999,24.6386463116994,1
18-Feb-2019 20:00:00,Total East,4911.52114922508,4911.52114922508,4637.85916666667,6800,-4.02444091997672,1
18-Feb-2019 20:00:00,Moses South,197.74162075462,2108.65703435849,1905.21333333333,3150,54.205451192975,1
18-Feb-2019 20:00:00,Central East,2962.82182579185,2962.82182579185,2679.6825,2780,-10.1848678342392,1
18-Feb-2019 20:00:00,UpNY-Coned,-1170.81992106158,2185.26088224828,2143.29416666667,5700,58.1423524162851,1
18-Feb-2019 20:00:00,Dun/SPR-South,3448.20603697265,2179.84666666668,2372.92833333333,4600,-23.3756022530287,1
18-Feb-2019 21:00:00,Dysinger East,344.451884784489,1447.73972600867,1326.59833333333,3150,31.179252334884,1
18-Feb-2019 21:00:00,West Central,-1660.07130638668,832.989289882591,683.375833333333,9999,23.436815078708,1
18-Feb-2019 21:00:00,Total East,4841.72591303092,4841.72591303092,4494.03083333333,6800,-5.11316293672915,1
18-Feb-2019 21:00:00,Moses South,190.23773193356,2077.25017337057,1970.5875,3150,56.5190402560775,1
18-Feb-2019 21:00:00,Central East,2884.52065238563,2884.52065238563,2665.9875,2780,-7.86090476207311,1
18-Feb-2019 21:00:00,UpNY-Coned,-1287.43538199905,2259.65023968382,2119.50833333333,5700,59.7709423742523,1
18-Feb-2019 21:00:00,Dun/SPR-South,3337.12259960572,2292.36333333335,2447.44,4600,-19.3409260783853,1
18-Feb-2019 22:00:00,Dysinger East,308.710741923926,1142.58987086303,1048.28,3150,23.4783891452722,1
18-Feb-2019 22:00:00,West Central,-1661.92980470313,600.509194295624,479.1375,9999,21.4128143284642,1
18-Feb-2019 22:00:00,Total East,4609.56698068429,4609.56698068429,4304.53583333333,6800,-4.48575216692583,1
18-Feb-2019 22:00:00,Moses South,171.053603454644,2003.751903181,1889.335,3150,54.5486157633446,1
18-Feb-2019 22:00:00,Central East,2727.87669411702,2727.87669411702,2538.51833333333,2780,-6.81145182675144,1
18-Feb-2019 22:00:00,UpNY-Coned,-1280.05251002614,2361.66644034622,1985.95666666667,5700,57.2984066086457,1
18-Feb-2019 22:00:00,Dun/SPR-South,3154.06742164414,2471.91333333334,2338.69166666667,4600,-17.7255598908146,1
18-Feb-2019 23:00:00,Dysinger East,294.716848840461,834.831090158958,713.515833333333,3150,13.2952058569166,1
18-Feb-2019 23:00:00,West Central,-1726.18988604588,354.530633295078,207.155833333333,9999,19.3353907328654,1
18-Feb-2019 23:00:00,Total East,4464.56741303614,4464.56741303614,4096.21916666667,6800,-5.41688597602174,1
18-Feb-2019 23:00:00,Moses South,175.957497827919,1980.29479199582,1834.5175,3150,52.6526984816534,1
18-Feb-2019 23:00:00,Central East,2681.42035731104,2681.42035731104,2498.13583333333,2778.33333333333,-6.59692347850161,1
18-Feb-2019 23:00:00,UpNY-Coned,-1236.1077585355,2228.00204178915,1866.73,5700,54.4357501497456,1
18-Feb-2019 23:00:00,Dun/SPR-South,2961.37141275204,2539.51333333334,2323.53833333333,4600,-13.8659365091023,1
19-Feb-2019 00:00:00,Dysinger East,210.575412534345,298.696343026479,307.0975,3150,3.06419325287793,1
19-Feb-2019 00:00:00,West Central,-1737.31881093984,-156.934692208408,-166.549166666667,9999,15.7092673694686,1
19-Feb-2019 00:00:00,Total East,4001.18454516348,4001.18454516348,3624.67416666667,6800,-5.5369173308355,1
19-Feb-2019 00:00:00,Moses South,137.848827773861,1875.1515698329,1902.455,3150,56.0192435627346,1
19-Feb-2019 00:00:00,Central East,2492.57847404681,2492.57847404681,2193.75,2623.33333333333,-11.391174360107,1
19-Feb-2019 00:00:00,UpNY-Coned,-888.137679908559,2019.45217411948,1446.05166666667,5700,40.9506902907934,1
19-Feb-2019 00:00:00,Dun/SPR-South,2822.66612512117,2533.59,1995.8325,4600,-17.9746440243733,1
19-Feb-2019 01:00:00,Dysinger East,194.891046926716,217.226555439286,190.555833333333,3150,-0.137625828361354,1
19-Feb-2019 01:00:00,West Central,-1653.29957835466,-228.587175761952,-275.818333333333,9999,13.7761900692202,1
19-Feb-2019 01:00:00,Total East,3741.45494708827,3741.45494708827,3609.74666666667,6800,-1.93688647678826,1
19-Feb-2019 01:00:00,Moses South,124.576373514414,1846.35818267736,1907.03833333333,3150,56.5860939625054,1
19-Feb-2019 01:00:00,Central East,2419.03625233679,2419.03625233679,2144.12666666667,2525,-10.8875083433713,1
19-Feb-2019 01:00:00,UpNY-Coned,-668.59041114824,1711.28178059181,1364.24583333333,5700,35.6637937628346,1
19-Feb-2019 01:00:00,Dun/SPR-South,2819.39594500523,2250.92333333335,1959.735,4600,-18.6882814131571,1
19-Feb-2019 02:00:00,Dysinger East,225.579184980857,249.0362618957,236.800833333333,3150,0.356242804840511,1
19-Feb-2019 02:00:00,West Central,-1641.85665137524,-192.200016567077,-221.0725,9999,14.2092624399964,1
19-Feb-2019 02:00:00,Total East,3725.57939149782,3725.57939149782,3626.14416666667,6800,-1.46228271810522,1
19-Feb-2019 02:00:00,Moses South,122.19012479552,1864.51382281612,1936.97,3150,57.612059530301,1
19-Feb-2019 02:00:00,Central East,2416.36366540781,2416.36366540781,2196.13333333333,2525,-8.72199334948412,1
19-Feb-2019 02:00:00,UpNY-Coned,-686.273961058585,1706.9838432519,1367.23,5700,36.0263852817296,1
19-Feb-2019 02:00:00,Dun/SPR-South,2884.58431193151,2316.64,2018.03666666667,4600,-18.8379922883661,1
19-Feb-2019 03:00:00,Dysinger East,221.401596784055,205.443321582628,199.048333333333,3150,-0.709627411134016,1
19-Feb-2019 03:00:00,West Central,-1665.90719675124,-244.125006888272,-264.701666666667,9999,14.0134566465104,1
19-Feb-2019 03:00:00,Total East,3648.78115750099,3648.78115750099,3583.80583333333,6800,-0.955519473053722,1
19-Feb-2019 03:00:00,Moses South,110.86457142019,1853.89052157888,1938.6775,3150,58.0258072565019,1
19-Feb-2019 03:00:00,Central East,2366.71510441953,2366.71510441953,2155.9875,2525,-8.3456476997833,1
19-Feb-2019 03:00:00,UpNY-Coned,-670.463926720297,1689.65961777986,1307.3775,5700,34.6989723986017,1
19-Feb-2019 03:00:00,Dun/SPR-South,2914.34958548303,2348.84000000001,1996.61916666667,4600,-19.9506612786166,1
19-Feb-2019 04:00:00,Dysinger East,207.012687984776,166.862507697595,155.803333333333,3150,-1.62569379845849,1
19-Feb-2019 04:00:00,West Central,-1787.62058894399,-313.571253988423,-340.163333333333,9999,14.4760201581224,1
19-Feb-2019 04:00:00,Total East,3685.10256842009,3685.10256842009,3345.60166666667,6800,-4.99266031990324,1
19-Feb-2019 04:00:00,Moses South,95.2277843632156,1844.23775243672,1893.38666666667,3150,57.0844089620143,1
19-Feb-2019 04:00:00,Central East,2345.95608104065,2345.95608104065,2052.70416666667,2525,-11.61393720293,1
19-Feb-2019 04:00:00,UpNY-Coned,-745.528281629382,1736.77017591215,1230.77,5700,34.6718996777085,1
