smoke_case,branch_row,from_bus,to_bus,from_name,to_name,from_zone,to_zone,status
1,82,100,102,PHAS,BP 76,NA,NA,1
1,83,100,103,PHAS,PA 27,NA,NA,1
1,84,102,103,BP 76,PA 27,NA,NA,1
1,85,124,138,BRANCHBURG,E TOMANO,NA,NA,1
1,86,124,134,BRANCHBURG,HOMER CITY,NA,NA,1
1,87,124,132,BRANCHBURG,JUNIATA,NA,NA,1
1,88,124,125,BRANCHBURG,LINDON,NA,NA,1
1,89,125,138,LINDON,E TOMANO,NA,NA,1
1,90,125,134,LINDON,HOMER CITY,NA,NA,1
1,91,125,132,LINDON,JUNIATA,NA,NA,1
1,92,132,138,JUNIATA,E TOMANO,NA,NA,1
1,93,132,134,JUNIATA,HOMER CITY,NA,NA,1
1,94,134,138,HOMER CITY,E TOMANO,NA,NA,1
2,1,29,37,NORTHFIELD,NEW SEATHED,NA,F,1
2,2,35,73,SOUTHINGTEN,PLEASANT VLY,NA,G,1
2,3,37,38,NEW SEATHED,GILBOA,F,E,1
2,4,37,39,NEW SEATHED,LEEDS,F,G,1
2,5,37,40,NEW SEATHED,NEW SEATHED,F,F,1
2,6,37,43,NEW SEATHED,EDIC,F,E,1
2,7,38,69,GILBOA,BINGHAMTON,E,E,1
2,8,38,77,GILBOA,BUCHANAN,E,G,1
2,9,39,73,LEEDS,PLEASANT VLY,G,G,1
2,10,39,73,LEEDS,PLEASANT VLY,G,G,1
2,11,40,41,NEW SEATHED,ROTTERDAM,F,F,1
2,12,40,44,NEW SEATHED,PORTER,F,E,1
2,13,41,42,ROTTERDAM,ALBANY,F,F,1
2,14,41,45,ROTTERDAM,PORTER,F,E,1
2,15,43,38,EDIC,GILBOA,E,E,1
2,16,43,44,EDIC,PORTER,E,E,1
2,17,43,50,EDIC,CLAY,E,C,1
2,18,44,45,PORTER,PORTER,E,E,1
2,19,44,48,PORTER,MOSES E,E,D,1
2,20,45,46,PORTER,COLTON,E,E,1
2,21,45,51,PORTER,CLAY,E,C,1
2,22,45,71,PORTER,BINGHAMTON,E,C,1
2,23,46,47,COLTON,MOSES W,E,E,1
2,24,46,49,COLTON,PLATTSBURGH,E,D,1
2,25,47,48,MOSES W,MOSES E,E,D,1
2,26,48,100,MOSES E,PHAS,D,NA,1
2,27,49,48,PLATTSBURGH,MOSES E,D,D,1
2,28,50,51,CLAY,CLAY,C,C,1
2,29,50,52,CLAY,ROCHESTER,C,B,1
