hour_index,timestamp,source_chunk,max_branch_pf_error_mw,max_bus_angle_error_deg,max_result_pg_error_mw,max_released_operator_error_mw,max_corrected_operator_error_mw,max_independent_nodal_residual_mw,reference_angle_error_deg,max_active_rated_branch_overload_mw,replay_passed
8235,2019-12-10T02:00:00,annual_4.mat,3.296918293926865e-12,1.5631940186722204e-13,6.707523425575346e-12,5.002220859751105e-12,4.774847184307873e-12,1.0203393685515039e-11,0.0,235.43345803155927,True
8236,2019-12-10T03:00:00,annual_4.mat,4.831690603168681e-12,1.4210854715202004e-13,6.821210263296962e-12,5.4569682106375694e-12,7.958078640513122e-12,3.353761712787673e-12,0.0,251.21100828262587,True
8237,2019-12-10T04:00:00,annual_4.mat,3.637978807091713e-12,1.5631940186722204e-13,6.59383658785373e-12,5.002220859751105e-12,7.503331289626658e-12,2.6147972675971687e-12,0.0,231.6567248956104,True
8238,2019-12-10T05:00:00,annual_4.mat,5.4001247917767614e-12,1.2789769243681803e-13,5.343281372915953e-12,4.320099833421409e-12,6.59383658785373e-12,6.650680006714538e-12,0.0,336.5563893990502,True
8239,2019-12-10T06:00:00,annual_4.mat,5.6843418860808015e-12,1.4210854715202004e-13,4.320099833421409e-12,7.73070496506989e-12,5.9117155615240335e-12,6.0822458181064576e-12,0.0,466.2172454324723,True
8240,2019-12-10T07:00:00,annual_4.mat,5.314859663485549e-12,1.9895196601282805e-13,6.59383658785373e-12,5.4569682106375694e-12,6.821210263296962e-12,4.746425474877469e-12,0.0,481.533139326349,True
8241,2019-12-10T08:00:00,annual_4.mat,4.547473508864641e-12,1.9895196601282805e-13,8.981260180007666e-12,7.275957614183426e-12,7.958078640513122e-12,3.467448550509289e-12,0.0,436.6551319762567,True
8242,2019-12-10T09:00:00,annual_4.mat,5.6843418860808015e-12,1.7053025658242404e-13,4.888534022029489e-12,4.718003765447065e-12,9.549694368615746e-12,3.694822225952521e-12,0.0,501.1041867828335,True
8243,2019-12-10T10:00:00,annual_4.mat,6.139089236967266e-12,2.2737367544323206e-13,5.6843418860808015e-12,5.9117155615240335e-12,1.2960299500264227e-11,6.707523425575346e-12,0.0,630.1534399646312,True
8244,2019-12-10T11:00:00,annual_4.mat,6.394884621840902e-12,2.2737367544323206e-13,5.9117155615240335e-12,3.637978807091713e-12,7.389644451905042e-12,5.7411853049416095e-12,0.0,614.8545757503415,True
8245,2019-12-10T12:00:00,annual_4.mat,4.263256414560601e-12,1.9895196601282805e-13,1.000444171950221e-11,5.9117155615240335e-12,7.73070496506989e-12,4.320099833421409e-12,0.0,495.5820311674365,True
8246,2019-12-10T13:00:00,annual_4.mat,7.16227077646181e-12,1.9895196601282805e-13,6.707523425575346e-12,6.252776074688882e-12,1.0800249583553523e-11,3.353761712787673e-12,0.0,488.9196567916224,True
8247,2019-12-10T14:00:00,annual_4.mat,4.604316927725449e-12,1.4210854715202004e-13,6.139089236967266e-12,4.547473508864641e-12,7.16227077646181e-12,5.6701310313655995e-12,0.0,491.96132942217196,True
8248,2019-12-10T15:00:00,annual_4.mat,5.115907697472721e-12,2.8421709430404007e-13,9.208633855450898e-12,8.185452315956354e-12,1.3415046851150692e-11,6.59383658785373e-12,0.0,524.2590335054247,True
