TimeStamp,interface,FlowMWH,PositiveLimitMWH,NegativeLimitMWH,sample_count,distinct_timestamp_count,FlowMWH_unimputed,FlowMWH_finite_samples,FlowMWH_imputed,PositiveLimitMWH_unimputed,PositiveLimitMWH_finite_samples,PositiveLimitMWH_imputed,NegativeLimitMWH_unimputed,NegativeLimitMWH_finite_samples,NegativeLimitMWH_imputed,PositiveLimitMWH_sentinel_samples,NegativeLimitMWH_sentinel_samples,spring_dst_missing_hour,fall_dst_ambiguous_hour,filter_unimputed_unambiguous_hour,filter_unimputed_unambiguous_exactly_12_unique_samples,InterfaceName
2019-05-30 09:00:00,Dun/SPR-South,3233.075,4600.0,-9999.0,12,12,3233.075,12,False,4600.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-05-30 09:00:00,Dysinger East,1583.75833333333,3150.0,-9999.0,12,12,1583.75833333333,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-05-30 09:00:00,Moses South,1083.18166666667,2850.0,-1600.0,12,12,1083.18166666667,12,False,2850.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-05-30 09:00:00,Total East,4260.34916666667,6800.0,-9999.0,12,12,4260.34916666667,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-05-30 09:00:00,UpNY-Coned,2777.13083333333,5700.0,-9999.0,12,12,2777.13083333333,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-05-30 09:00:00,West Central,1108.89083333333,9999.0,-9999.0,12,12,1108.89083333333,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-06-30 01:00:00,Central East,2289.13166666667,2405.0,-9999.0,12,12,2289.13166666667,12,False,2405.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-06-30 01:00:00,Dun/SPR-South,3542.51583333333,4350.0,-9999.0,12,12,3542.51583333333,12,False,4350.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-06-30 01:00:00,Dysinger East,998.221666666667,3150.0,-9999.0,12,12,998.221666666667,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-06-30 01:00:00,Moses South,1698.31166666667,3150.0,-1600.0,12,12,1698.31166666667,12,False,3150.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-06-30 01:00:00,Total East,4381.59333333333,6800.0,-9999.0,12,12,4381.59333333333,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-06-30 01:00:00,UpNY-Coned,2930.92916666667,5700.0,-9999.0,12,12,2930.92916666667,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-06-30 01:00:00,West Central,603.910833333333,9999.0,-9999.0,12,12,603.910833333333,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-07-03 04:00:00,Central East,2132.80416666667,2366.66666666667,-9999.0,12,12,2132.80416666667,12,False,2366.66666666667,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-07-03 04:00:00,Dun/SPR-South,3468.36166666667,4350.0,-9999.0,12,12,3468.36166666667,12,False,4350.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-07-03 04:00:00,Dysinger East,857.38,3150.0,-9999.0,12,12,857.38,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-07-03 04:00:00,Moses South,1935.28,3150.0,-1600.0,12,12,1935.28,12,False,3150.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-07-03 04:00:00,Total East,4110.18,6800.0,-9999.0,12,12,4110.18,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-07-03 04:00:00,UpNY-Coned,2833.57416666667,5700.0,-9999.0,12,12,2833.57416666667,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-07-03 04:00:00,West Central,497.0375,9999.0,-9999.0,12,12,497.0375,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-07-22 04:00:00,Central East,2281.57,2650.0,-9999.0,12,12,2281.57,12,False,2650.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-07-22 04:00:00,Dun/SPR-South,3833.9975,4350.0,-9999.0,12,12,3833.9975,12,False,4350.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-07-22 04:00:00,Dysinger East,1057.25333333333,3150.0,-9999.0,12,12,1057.25333333333,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-07-22 04:00:00,Moses South,2175.66416666667,3150.0,-1600.0,12,12,2175.66416666667,12,False,3150.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-07-22 04:00:00,Total East,4771.39666666667,6800.0,-9999.0,12,12,4771.39666666667,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-07-22 04:00:00,UpNY-Coned,3841.94166666667,5700.0,-9999.0,12,12,3841.94166666667,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-07-22 04:00:00,West Central,614.283333333333,9999.0,-9999.0,12,12,614.283333333333,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
