point_id,source_flow_value,actual_positive_limit_mw,actual_negative_limit_mw,source_csv_line,source_field,unit_interpretation,source_limit_is_equipment_rating,interface_name,public_interface_name,zone_boundary,actual_flow_mw,target_flow_mw,target_positive_limit_mw,target_negative_limit_mw,actual_limit_mw,target_limit_mw,directional_limit_is_placeholder,scenario_id,timestamp,timestamp_utc,vintage,dataset_split,campaign_role,scale_factor_gamma,source_id,scale_policy,scale_reference_scenario_id,scale_reference_source_id,target_use,provenance_class,training_target,partition_training,model_operator_qualification
23319,2132.97,3150,-1600,1732,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Moses_South,MOSES SOUTH,D-E,2132.97,765.015766872054,1129.78600995184,-573.859560610457,3150,1129.78600995184,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23330,2634.68,2880,-9999,1730,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Central_East,CENTRAL EAST - VC,E-F,2634.68,944.960191968224,1032.94720909882,-3586.26359158998,2880,1032.94720909882,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23314,5781.14,6800,-9999,1745,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Total_East_proxy,TOTAL EAST,F-G,5781.14,2073.47653764221,2438.90313259444,-3586.26359158998,6800,2438.90313259444,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23315,3883.95,5700,-9999,1746,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,UPNY_ConEd,UPNY CONED,G-H,3883.95,1393.02615027062,2044.37468467475,-3586.26359158998,5700,2044.37468467475,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23320,3991.3,4350,-9999,1744,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Dunwoodie_South,SPR/DUN-SOUTH,I-J,3991.3,1431.52854016532,1560.18068040968,-3586.26359158998,4350,1560.18068040968,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23326,1002.11,3150,-9999,435,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Dysinger_East,DYSINGER EAST,A-B,1002.11,359.419002677091,1129.78600995184,-3586.26359158998,3150,1129.78600995184,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190727,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23312,592.87,9999,-9999,451,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,West_Central,WEST CENTRAL,B-C,592.87,212.640073561951,3586.26359158998,-3586.26359158998,9999,3586.26359158998,1,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190727,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23319,700.29,1550,-1600,436,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Moses_South,MOSES SOUTH,D-E,700.29,251.167569812436,555.92644934138,-573.859560610457,1550,555.92644934138,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190727,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23330,1477.9,2305,-9999,434,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Central_East,CENTRAL EAST - VC,E-F,1477.9,530.066902891372,826.71642950444,-3586.26359158998,2305,826.71642950444,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190727,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23314,2206.42,6800,-9999,449,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Total_East_proxy,TOTAL EAST,F-G,2206.42,791.359507326328,2438.90313259444,-3586.26359158998,6800,2438.90313259444,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019-07-27 02:00,2019-07-27T06:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190727,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
