scenario_id,public_interface_name,point_id,source_id,actual_hour_mean_mw,backward_hold_mean_mw,linear_mean_mw,interval_count,max_sample_gap_seconds,duplicate_timestamp_count,max_duplicate_spread_mw,duplicate_lower_hour_mean_mw,duplicate_upper_hour_mean_mw,source_csv_lines,coverage_qualified,coverage_failure,interface_name,actual_flow_mw,target_flow_mw,used_in_prior,used_in_optimizer,methodology_freeze_sha256
S5_2019_HIGH_TOTAL_EAST_PUBLIC,CENTRAL EAST - VC,23330,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,Central_East,,,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,TOTAL EAST,23314,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,Total_East_proxy,,,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,UPNY CONED,23315,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,UPNY_ConEd,,,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SPR/DUN-SOUTH,23320,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,Dunwoodie_South,,,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,DYSINGER EAST,23326,NYISO:ExternalLimitsFlows:20190727,1020.0825,1016.3933333333333,1018.2379166666667,12.0,300.0,0.0,0.0,1020.0825,1020.0825,435;453;471;489;507;525;543;561;579;597;615;633;651,True,,Dysinger_East,1020.0825,365.8650595227607,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,WEST CENTRAL,23312,NYISO:ExternalLimitsFlows:20190727,623.6983333333334,622.9866666666667,623.3424999999999,12.0,300.0,0.0,0.0,623.6983333333334,623.6983333333334,451;469;487;505;523;541;559;577;595;613;631;649;667,True,,West_Central,623.6983333333334,223.6970322000884,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,MOSES SOUTH,23319,NYISO:ExternalLimitsFlows:20190727,663.5233333333333,651.8183333333334,657.6708333333333,12.0,300.0,0.0,0.0,663.5233333333333,663.5233333333333,436;454;472;490;508;526;544;562;580;598;616;634;652,True,,Moses_South,663.5233333333333,237.98075532590804,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,CENTRAL EAST - VC,23330,NYISO:ExternalLimitsFlows:20190727,1535.405,1535.0325,1535.21875,12.0,300.0,0.0,0.0,1535.405,1535.405,434;452;470;488;506;524;542;560;578;596;614;632;650,True,,Central_East,1535.405,550.6917741619374,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,TOTAL EAST,23314,NYISO:ExternalLimitsFlows:20190727,2297.108333333333,2305.1466666666665,2301.1275,12.0,300.0,0.0,0.0,2297.108333333333,2297.108333333333,449;467;485;503;521;539;557;575;593;611;629;647;665,True,,Total_East_proxy,2297.108333333333,823.8859867758046,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,UPNY CONED,23315,NYISO:ExternalLimitsFlows:20190727,2381.2150000000006,2384.36,2382.7875,12.0,300.0,0.0,0.0,2381.2150000000006,2381.2150000000006,450;468;486;504;522;540;558;576;594;612;630;648;666,True,,UPNY_ConEd,2381.2150000000006,854.0518710118945,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,SPR/DUN-SOUTH,23320,NYISO:ExternalLimitsFlows:20190727,2759.204166666667,2763.1316666666667,2761.1679166666668,12.0,300.0,0.0,0.0,2759.204166666667,2759.204166666667,448;466;484;502;520;538;556;574;592;610;628;646;664,True,,Dunwoodie_South,2759.204166666667,989.6223066986734,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,DYSINGER EAST,23326,NYISO:ExternalLimitsFlows:20250729,392.9025,400.7658333333333,396.83416666666665,12.0,300.0,0.0,0.0,392.9025,392.9025,3963;3981;3999;4017;4035;4053;4071;4089;4107;4125;4143;4161;4179,True,,Dysinger_East,392.9025,139.77846695239117,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,WEST CENTRAL,23312,NYISO:ExternalLimitsFlows:20250729,-663.7683333333333,-660.0616666666666,-661.915,12.0,300.0,0.0,0.0,-663.7683333333333,-663.7683333333333,3979;3997;4015;4033;4051;4069;4087;4105;4123;4141;4159;4177;4195,True,,West_Central,-663.7683333333333,-236.14133288761744,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,MOSES SOUTH,23319,NYISO:ExternalLimitsFlows:20250729,2062.911666666667,2071.3483333333334,2067.13,12.0,300.0,0.0,0.0,2062.911666666667,2062.911666666667,3964;3982;4000;4018;4036;4054;4072;4090;4108;4126;4144;4162;4180,True,,Moses_South,2062.911666666667,733.8986904508597,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,CENTRAL EAST - VC,23330,NYISO:ExternalLimitsFlows:20250729,2629.369166666667,2628.5191666666665,2628.9441666666667,12.0,300.0,0.0,0.0,2629.369166666667,2629.369166666667,3962;3980;3998;4016;4034;4052;4070;4088;4106;4124;4142;4160;4178,True,,Central_East,2629.369166666667,935.420851657989,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,TOTAL EAST,23314,NYISO:ExternalLimitsFlows:20250729,3104.2075,3099.8875,3102.0475,12.0,300.0,0.0,0.0,3104.2075,3104.2075,3977;3995;4013;4031;4049;4067;4085;4103;4121;4139;4157;4175;4193,True,,Total_East_proxy,3104.2075,1104.3487008917348,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,UPNY CONED,23315,NYISO:ExternalLimitsFlows:20250729,5125.756666666667,5091.5375,5108.647083333333,12.0,300.0,0.0,0.0,5125.756666666667,5125.756666666667,3978;3996;4014;4032;4050;4068;4086;4104;4122;4140;4158;4176;4194,True,,UPNY_ConEd,5125.756666666667,1823.5323237639504,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,SPR/DUN-SOUTH,23320,NYISO:ExternalLimitsFlows:20250729,2746.0975,2733.6025,2739.85,12.0,300.0,0.0,0.0,2746.0975,2746.0975,3976;3994;4012;4030;4048;4066;4084;4102;4120;4138;4156;4174;4192,True,,Dunwoodie_South,2746.0975,976.94796712109,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2025_WINTER_PEAK_PUBLIC,DYSINGER EAST,23326,NYISO:ExternalLimitsFlows:20250122,2132.9283333333333,2137.5416666666665,2135.235,12.0,300.0,0.0,0.0,2132.9283333333333,2132.9283333333333,3909;3927;3945;3963;3981;3999;4017;4035;4053;4071;4089;4107;4125,True,,Dysinger_East,2132.9283333333333,758.8077259692981,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2025_WINTER_PEAK_PUBLIC,WEST CENTRAL,23312,NYISO:ExternalLimitsFlows:20250122,1270.335,1278.8583333333333,1274.5966666666666,12.0,300.0,0.0,0.0,1270.335,1270.335,3925;3943;3961;3979;3997;4015;4033;4051;4069;4087;4105;4123;4141,True,,West_Central,1270.335,451.9326774860579,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2025_WINTER_PEAK_PUBLIC,MOSES SOUTH,23319,NYISO:ExternalLimitsFlows:20250122,-8.555833333333334,1.0224999999999995,-3.766666666666665,12.0,300.0,0.0,0.0,-8.555833333333334,-8.555833333333334,3910;3928;3946;3964;3982;4000;4018;4036;4054;4072;4090;4108;4126,True,,Moses_South,-8.555833333333334,-3.043811802758955,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
