interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,variant_id,scenario_id,electrically_qualified
Central_East,839.104725461061,NaN,NaN,NaN,0,0,rating_080,S1_2025_SUMMER_PEAK_PUBLIC,1
Total_East_proxy,1027.09289423269,NaN,NaN,NaN,0,0,rating_080,S1_2025_SUMMER_PEAK_PUBLIC,1
UPNY_ConEd,1732.13879171885,NaN,NaN,NaN,0,0,rating_080,S1_2025_SUMMER_PEAK_PUBLIC,1
Dunwoodie_South,1075.03193537715,NaN,NaN,NaN,0,0,rating_080,S1_2025_SUMMER_PEAK_PUBLIC,1
Dysinger_East,-63.6365587349973,NaN,NaN,NaN,0,0,rating_120,S1_2025_SUMMER_PEAK_PUBLIC,1
West_Central,-456.853915469733,NaN,NaN,NaN,0,0,rating_120,S1_2025_SUMMER_PEAK_PUBLIC,1
Moses_South,814.158633548975,NaN,NaN,NaN,0,0,rating_120,S1_2025_SUMMER_PEAK_PUBLIC,1
Central_East,871.419644986483,NaN,NaN,NaN,0,0,rating_120,S1_2025_SUMMER_PEAK_PUBLIC,1
Total_East_proxy,1055.56188068996,NaN,NaN,NaN,0,0,rating_120,S1_2025_SUMMER_PEAK_PUBLIC,1
UPNY_ConEd,1759.3039445172,NaN,NaN,NaN,0,0,rating_120,S1_2025_SUMMER_PEAK_PUBLIC,1
Dunwoodie_South,1098.26200282508,NaN,NaN,NaN,0,0,rating_120,S1_2025_SUMMER_PEAK_PUBLIC,1
