control_key,device_key,source_bus,source_control_role,canonical_enabled,regulated_bus,setpoint_pu,qmin_mvar,qmax_mvar,bounds_are_placeholder,recommended_treatment,raw_regulated_bus,raw_remote_control_omitted
PERFORM2019:GEN:569:1:CONTROL,PERFORM2019:GEN:569:1,569,offline_generator_control,0,569,1.01,-0.2,0.3,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,569,0
PERFORM2019:GEN:569:6:CONTROL,PERFORM2019:GEN:569:6,569,offline_generator_control,0,569,1.01,-33.000001,41.999999,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,569,0
PERFORM2019:GEN:569:C1:CONTROL,PERFORM2019:GEN:569:C1,569,PV_voltage_control,1,569,1.01,-58.520001,62.699997,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,569,0
PERFORM2019:GEN:569:C2:CONTROL,PERFORM2019:GEN:569:C2,569,PV_voltage_control,1,569,1.01,-67.199999,72.000003,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,569,0
PERFORM2019:GEN:570:C1:CONTROL,PERFORM2019:GEN:570:C1,570,PV_voltage_control,1,570,1.02,-84.84,90.899998,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,570,0
PERFORM2019:GEN:571:1:CONTROL,PERFORM2019:GEN:571:1,571,PV_voltage_control,1,571,1.02,-9.9,12.6,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,571,0
PERFORM2019:GEN:571:2:CONTROL,PERFORM2019:GEN:571:2,571,PV_voltage_control,1,571,1.02,-188.100004,239.400005,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,571,0
PERFORM2019:GEN:571:3:CONTROL,PERFORM2019:GEN:571:3,571,PV_voltage_control,1,571,1.02,-294.499993,374.900007,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,571,0
PERFORM2019:GEN:571:X:CONTROL,PERFORM2019:GEN:571:X,571,boundary_proxy_PV_to_be_replaced_by_fixed_PQ,1,571,1.02,-9900,9900,1,remove_generator_and_apply_separate_scheduled_P_fixed_Q,571,0
PERFORM2019:GEN:573:1:CONTROL,PERFORM2019:GEN:573:1,573,PV_voltage_control,1,573,1.02,-2,2.5,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,573,0
PERFORM2019:GEN:573:2:CONTROL,PERFORM2019:GEN:573:2,573,PV_voltage_control,1,573,1.02,-8,10.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,573,0
PERFORM2019:GEN:573:3:CONTROL,PERFORM2019:GEN:573:3,573,PV_voltage_control,1,573,1.02,-8,10.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,573,0
PERFORM2019:GEN:575:1:CONTROL,PERFORM2019:GEN:575:1,575,PV_voltage_control,1,575,1.02,-2.8,3.5,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,575,0
PERFORM2019:GEN:575:2:CONTROL,PERFORM2019:GEN:575:2,575,PV_voltage_control,1,575,1.02,-2.8,3.5,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,575,0
PERFORM2019:GEN:577:1:CONTROL,PERFORM2019:GEN:577:1,577,PV_voltage_control,1,577,1.01,-9.4,11.9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,577,0
PERFORM2019:GEN:577:C1:CONTROL,PERFORM2019:GEN:577:C1,577,PV_voltage_control,1,577,1.01,-57.4,61.500001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,577,0
PERFORM2019:GEN:579:1:CONTROL,PERFORM2019:GEN:579:1,579,offline_generator_control,0,579,1.02,-14.8,18.799999,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,579,0
PERFORM2019:GEN:580:X:CONTROL,PERFORM2019:GEN:580:X,580,boundary_proxy_PV_to_be_replaced_by_fixed_PQ,1,580,1.03,-9900,9900,1,remove_generator_and_apply_separate_scheduled_P_fixed_Q,580,0
PERFORM2019:GEN:589:3:CONTROL,PERFORM2019:GEN:589:3,589,PV_voltage_control,1,589,1.01,-43.200001,55.000001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,589,0
PERFORM2019:GEN:589:C1:CONTROL,PERFORM2019:GEN:589:C1,589,PV_voltage_control,1,589,1.01,-38.499999,41.249999,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,589,0
PERFORM2019:GEN:595:1:CONTROL,PERFORM2019:GEN:595:1,595,PV_voltage_control,1,595,1.02,-25.9,32.9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,595,0
PERFORM2019:GEN:595:2:CONTROL,PERFORM2019:GEN:595:2,595,PV_voltage_control,1,595,1.02,-25.9,32.9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,595,0
PERFORM2019:GEN:595:3:CONTROL,PERFORM2019:GEN:595:3,595,PV_voltage_control,1,595,1.02,-25.9,32.9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,595,0
PERFORM2019:GEN:595:4:CONTROL,PERFORM2019:GEN:595:4,595,PV_voltage_control,1,595,1.02,-25.9,32.9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,595,0
PERFORM2019:GEN:596:1:CONTROL,PERFORM2019:GEN:596:1,596,offline_generator_control,0,596,1.02,-0.9,1.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,596,0
PERFORM2019:GEN:596:2:CONTROL,PERFORM2019:GEN:596:2,596,offline_generator_control,0,596,1.02,-7.1,9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,596,0
PERFORM2019:GEN:596:3:CONTROL,PERFORM2019:GEN:596:3,596,offline_generator_control,0,596,1.02,-7.1,9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,596,0
PERFORM2019:GEN:596:4:CONTROL,PERFORM2019:GEN:596:4,596,offline_generator_control,0,596,1.02,-8.8,11.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,596,0
