experiment,criterion,rank,timestamp,interface,observed_actual_mw,predicted_actual_scale_mw,observed_benchmark_mw,predicted_benchmark_mw,signed_error_benchmark_mw,absolute_error_actual_scale_mw,absolute_error_pct,paper_rating_error_pct,wrong_direction
compact51__paper_roles,minimax,3,2019-03-02 08:00:00,UpNY-Coned,2136.03166667,1586.47746304,766.113871052,569.009537411,-197.104333641,549.554203627,25.7278116333,9.64130181803,False
compact51__paper_roles,minimax,3,2019-03-02 08:00:00,Dun/SPR-South,2361.8175,2159.15450997,847.094720495,774.407161489,-72.6875590058,202.662990028,8.58080651988,4.40571717452,False
compact51__current_roles,pooled,1,2019-05-30 09:00:00,Dysinger East,1583.75833333,1599.73017614,568.0342883,573.762784986,5.72849668603,15.971842811,1.00847727048,-0.50704262892,False
compact51__current_roles,pooled,1,2019-05-30 09:00:00,West Central,1108.89083333,1137.78038692,397.717253989,408.078845569,10.36159158,28.8895535876,2.60526579526,-0.288924428319,False
compact51__current_roles,pooled,1,2019-05-30 09:00:00,Total East,4260.34916667,4259.41095596,1528.02631302,1527.68981228,-0.336500739043,0.938210704193,0.0220219204457,0.0137972162381,False
compact51__current_roles,pooled,1,2019-05-30 09:00:00,Moses South,1083.18166667,1017.44126303,388.496347059,364.917747592,-23.5785994672,65.7404036406,6.06919463869,2.30668082949,False
compact51__current_roles,pooled,1,2019-05-30 09:00:00,Central East,2376.23,3496.37100856,852.263939818,1254.01620669,401.752266872,1120.14100856,47.1394186826,-42.8352202127,False
compact51__current_roles,pooled,1,2019-05-30 09:00:00,UpNY-Coned,2777.13083333,2724.90458851,996.051924859,977.320343668,-18.7315811914,52.2262448227,1.88058280135,0.916249909171,False
compact51__current_roles,pooled,1,2019-05-30 09:00:00,Dun/SPR-South,3233.075,3243.93819564,1159.58187433,1163.47809225,3.8962179215,10.8631956358,0.336001968276,-0.236156426866,False
compact51__current_roles,pooled,2,2019-06-30 01:00:00,Dysinger East,998.221666667,924.369428979,358.024404391,331.536396472,-26.4880079185,73.8522376878,7.39838055553,2.34451548215,False
compact51__current_roles,pooled,2,2019-06-30 01:00:00,West Central,603.910833333,555.962757471,216.600003415,199.402839824,-17.1971635915,47.9480758622,7.93959525408,0.479528711493,False
compact51__current_roles,pooled,2,2019-06-30 01:00:00,Total East,4381.59333333,4334.32884451,1571.51201565,1554.56002891,-16.9519867433,47.2644888244,1.07870551255,0.695066012123,False
compact51__current_roles,pooled,2,2019-06-30 01:00:00,Moses South,1698.31166667,1682.57463052,609.120241758,603.475961352,-5.6442804062,15.7370361493,0.926628277844,0.499588449183,False
compact51__current_roles,pooled,2,2019-06-30 01:00:00,Central East,2289.13166667,3468.23561246,821.025057758,1243.92510291,422.900045154,1179.10394579,51.5087866269,-49.0271910933,False
compact51__current_roles,pooled,2,2019-06-30 01:00:00,UpNY-Coned,2930.92916667,2959.70895762,1051.21357735,1061.53580122,10.3222238693,28.7797909533,0.98193403241,-0.504908613217,False
compact51__current_roles,pooled,2,2019-06-30 01:00:00,Dun/SPR-South,3542.51583333,3584.92165259,1270.56661223,1285.77597774,15.2093655049,42.4058192598,1.19705376786,-0.974846419766,False
compact51__current_roles,pooled,3,2019-05-21 20:00:00,Dysinger East,1464.67083333,1437.80244168,525.322100535,515.685423393,-9.63667714164,26.8683916501,1.83443208116,0.895613055003,False
compact51__current_roles,pooled,3,2019-05-21 20:00:00,West Central,1019.59083333,1012.75844172,365.688717262,363.238196479,-2.45052078248,6.83239161824,0.670111126431,0.0683307492573,False
compact51__current_roles,pooled,3,2019-05-21 20:00:00,Total East,3603.69166667,3656.07361595,1292.50807276,1311.29549926,18.7874265011,52.3819492871,1.45356357126,-0.770322783633,False
compact51__current_roles,pooled,3,2019-05-21 20:00:00,Moses South,1331.87583333,1227.29739395,477.693550315,440.18521452,-37.5083357954,104.578439381,7.85196613407,3.66941892566,False
compact51__current_roles,pooled,3,2019-05-21 20:00:00,Central East,2338.22166667,3069.15013635,838.631786402,1100.78821793,262.156431532,730.928469685,31.2600161099,-27.5822064032,False
compact51__current_roles,pooled,3,2019-05-21 20:00:00,UpNY-Coned,2087.0875,2204.45874493,748.559447316,790.656079217,42.0966319014,117.371244927,5.62368587456,-2.05914464785,False
compact51__current_roles,pooled,3,2019-05-21 20:00:00,Dun/SPR-South,2412.77166667,2200.79924782,865.370055304,789.34355584,-76.0264994638,211.972418849,8.78543219722,4.60809606193,False
compact51__current_roles,minimax,1,2019-03-02 08:00:00,Dysinger East,1193.97166667,1020.55112581,428.232535009,366.0331379,-62.1993971093,173.420540853,14.5246780719,5.50541399534,False
compact51__current_roles,minimax,1,2019-03-02 08:00:00,West Central,681.845,538.974476115,244.552045065,193.309785027,-51.242260038,142.870523885,20.9535193314,1.42884812366,False
compact51__current_roles,minimax,1,2019-03-02 08:00:00,Total East,3772.04666667,3626.86275339,1352.89065171,1300.81866628,-52.0719854258,145.183913278,3.84894265919,2.1350575482,False
compact51__current_roles,minimax,1,2019-03-02 08:00:00,Moses South,1789.33833333,1479.83252641,641.768068594,530.760027113,-111.00804148,309.505806926,17.2972210543,9.82558117224,False
compact51__current_roles,minimax,1,2019-03-02 08:00:00,Central East,2322.41166667,2957.76790436,832.961336619,1060.83961874,227.878282119,635.356237689,27.3576061819,-24.1810176095,False
compact51__current_roles,minimax,1,2019-03-02 08:00:00,UpNY-Coned,2136.03166667,1584.75677771,766.113871052,568.39239258,-197.721478472,551.274888961,25.8083668685,9.67148928002,False
compact51__current_roles,minimax,1,2019-03-02 08:00:00,Dun/SPR-South,2361.8175,2199.00205391,847.094720495,788.698970274,-58.3957502208,162.815446089,6.89365059277,3.53946621933,False
compact51__current_roles,minimax,2,2019-03-02 15:00:00,Dysinger East,1120.32666667,998.975180338,401.818855421,358.294661281,-43.5241941399,121.351486328,10.831794863,3.85242813741,False
compact51__current_roles,minimax,2,2019-03-02 15:00:00,West Central,614.084166667,519.795363668,220.248793788,186.430961876,-33.8178319122,94.2888029992,15.3543778064,0.942982328224,False
compact51__current_roles,minimax,2,2019-03-02 15:00:00,Total East,4250.0275,3748.44579513,1524.32432108,1344.4259106,-179.898410478,501.581704866,11.8018461026,7.37620154215,False
compact51__current_roles,minimax,2,2019-03-02 15:00:00,Moses South,1805.61333333,1526.96530463,647.605296312,547.664774239,-99.9405220732,278.648028704,15.4323200632,8.84596916521,False
compact51__current_roles,minimax,2,2019-03-02 15:00:00,Central East,2398.95916667,3023.35912211,860.416033316,1084.36471086,223.948677547,624.399955441,26.027952627,-23.1259242756,False
compact51__current_roles,minimax,2,2019-03-02 15:00:00,UpNY-Coned,2496.06083333,1812.12136101,895.242733171,649.93948,-245.303253171,683.939472326,27.4007533467,11.998938111,False
compact51__current_roles,minimax,2,2019-03-02 15:00:00,Dun/SPR-South,2851.59416667,2461.79326143,1022.7591097,882.952249575,-139.806860127,389.800905234,13.6695785743,8.47393272247,False
compact51__current_roles,minimax,3,2019-03-02 14:00:00,Dysinger East,1198.535,1065.38289806,429.869230298,382.112601102,-47.756629196,133.15210194,11.1095714301,4.22705085523,False
compact51__current_roles,minimax,3,2019-03-02 14:00:00,West Central,695.665833333,585.763227613,249.509055905,210.091142763,-39.4179131427,109.90260572,15.7981893682,1.0991359708,False
compact51__current_roles,minimax,3,2019-03-02 14:00:00,Total East,4330.21416667,3878.7400575,1553.0842494,1391.1575407,-161.926708694,451.474109163,10.4261381028,6.63932513474,False
compact51__current_roles,minimax,3,2019-03-02 14:00:00,Moses South,1827.88416667,1546.76671223,655.593002956,554.766791156,-100.826211801,281.117454433,15.3793910774,8.9243636328,False
compact51__current_roles,minimax,3,2019-03-02 14:00:00,Central East,2450.9425,3126.99773579,879.060491332,1121.53596668,242.475475349,676.055235788,27.5834800608,-25.039082807,False
compact51__current_roles,minimax,3,2019-03-02 14:00:00,UpNY-Coned,2538.56083333,1876.49305673,910.48587775,673.02717564,-237.458702109,662.067776602,26.0804376995,11.6152241509,False
compact51__current_roles,minimax,3,2019-03-02 14:00:00,Dun/SPR-South,2840.75666667,2485.48702146,1018.87210783,891.450306274,-127.42180156,355.269645205,12.5061625085,7.72325315663,False
compact51_marcy__paper_roles,pooled,1,2019-09-06 02:00:00,Dysinger East,713.569166667,748.704766083,255.93030528,268.532117557,12.6018122767,35.1355994162,4.92392343413,-1.11541585448,False
compact51_marcy__paper_roles,pooled,1,2019-09-06 02:00:00,West Central,451.4175,524.332188783,161.906405126,188.058149668,26.1517445419,72.9146887829,16.1523841639,-0.72921980981,False
compact51_marcy__paper_roles,pooled,1,2019-09-06 02:00:00,Total East,3909.08833333,3977.96956467,1402.04232085,1426.74741657,24.7050957198,68.8812313412,1.76207917211,-1.01295928443,False
compact51_marcy__paper_roles,pooled,1,2019-09-06 02:00:00,Moses South,2026.6225,2060.36277618,726.872935858,738.974298399,12.1013625406,33.7402761826,1.66485254075,-1.07111987881,False
compact51_marcy__paper_roles,pooled,1,2019-09-06 02:00:00,Central East,2188.10333333,2172.90004289,784.790010898,779.337164915,-5.45284598298,15.2032904418,0.694815926204,0.630841927046,False
compact51_marcy__paper_roles,pooled,1,2019-09-06 02:00:00,UpNY-Coned,2201.93833333,2203.52054882,789.752102786,790.319583715,0.567480928437,1.58221548933,0.0718555767607,-0.0277581664795,False
compact51_marcy__paper_roles,pooled,1,2019-09-06 02:00:00,Dun/SPR-South,2909.24666667,2937.13529039,1043.43688365,1053.4394795,10.0025958478,27.8886237242,0.958620114402,-0.641117786764,False
compact51_marcy__paper_roles,pooled,2,2019-09-08 05:00:00,Dysinger East,765.053333333,745.378837983,274.395731069,267.339232783,-7.05649828565,19.6744953504,2.57165017042,0.624587153982,False
compact51_marcy__paper_roles,pooled,2,2019-09-08 05:00:00,West Central,568.540833333,586.370793167,203.914120504,210.309053576,6.39493307235,17.8299598335,3.13609133912,-0.178317430078,False
compact51_marcy__paper_roles,pooled,2,2019-09-08 05:00:00,Total East,4053.45916667,4069.7763639,1453.82268521,1459.67504748,5.85236227069,16.3171972305,0.402549934749,-0.239958782802,False
compact51_marcy__paper_roles,pooled,2,2019-09-08 05:00:00,Moses South,2037.21166667,2056.82065931,730.67086994,737.703874878,7.03300493785,19.6089926403,0.962540759073,-0.622507702866,False
compact51_marcy__paper_roles,pooled,2,2019-09-08 05:00:00,Central East,2234.5025,2330.97246779,801.431639271,836.031772602,34.6001333311,96.4699677929,4.31729066282,-4.09638929057,False
compact51_marcy__paper_roles,pooled,2,2019-09-08 05:00:00,UpNY-Coned,1866.06666667,1761.83358134,669.287623377,631.903153034,-37.384470343,104.23308533,5.58571069257,1.82865061983,False
compact51_marcy__paper_roles,pooled,2,2019-09-08 05:00:00,Dun/SPR-South,2539.30083333,2539.6479045,910.751287797,910.875769115,0.124481318323,0.347071170348,0.0136679815874,-0.0079786475942,False
compact51_marcy__paper_roles,pooled,3,2019-09-06 03:00:00,Dysinger East,735.860833333,773.317921562,263.925484054,277.359926675,13.4344426205,37.457088229,5.0902407809,-1.18911391203,False
compact51_marcy__paper_roles,pooled,3,2019-09-06 03:00:00,West Central,483.386666667,557.76125255,173.372537586,200.047892071,26.6753544849,74.3745858837,15.3861475735,-0.743820240861,False
compact51_marcy__paper_roles,pooled,3,2019-09-06 03:00:00,Total East,3959.61083333,4020.01464245,1420.16283313,1441.82739773,21.6645646003,60.4038091195,1.52549863262,-0.888291310582,False
compact51_marcy__paper_roles,pooled,3,2019-09-06 03:00:00,Moses South,2023.00666667,2057.50197985,725.576073028,737.948238821,12.372165793,34.4953131874,1.705150742,-1.09508930754,False
compact51_marcy__paper_roles,pooled,3,2019-09-06 03:00:00,Central East,2237.09083333,2255.79929849,802.359976664,809.06999641,6.71001974607,18.7084651553,0.836285450574,-0.776284861216,False
compact51_marcy__paper_roles,pooled,3,2019-09-06 03:00:00,UpNY-Coned,2130.71416667,2057.99741227,764.206684669,738.125931713,-26.0807529561,72.7167544013,3.41278785953,1.27573253336,False
