operator_variant,interface_name,compact_branch_row,branch_key,from_bus,to_bus,from_role,to_role,PF_coefficient,PT_coefficient,source_upstream_bus,uniform_upstream_AC_PF_coefficient,uniform_upstream_AC_PT_coefficient,exact_official_public_operator,metering_scope
frozen_current_partition_v1,UpNY-Coned,84,PERFORM2019:AC:651:902:1,73,9002,G,G,1,0,73,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,UpNY-Coned,85,PERFORM2019:AC:651:902:2,73,9002,G,G,1,0,73,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,UpNY-Coned,91,PERFORM2019:AC:774:900:1,774,77,G,H,1,0,774,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,UpNY-Coned,92,PERFORM2019:AC:900:1519:1,76,77,G,H,1,0,76,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Dun/SPR-South,57,NPCC_S7:BRANCH_ROW:95,78,79,I,J,1,0,78,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Dun/SPR-South,59,NPCC_S7:BRANCH_ROW:97,78,81,I,J,1,0,78,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Dun/SPR-South,60,NPCC_S7:BRANCH_ROW:98,78,82,I,J,1,0,78,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Dun/SPR-South,74,NPCC_S7:BRANCH_ROW:239,78,81,I,J,1,0,78,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Dun/SPR-South,75,NPCC_S7:BRANCH_ROW:240,78,79,I,J,1,0,78,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Dun/SPR-South,76,NPCC_S7:BRANCH_ROW:241,78,82,I,J,1,0,78,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
