case_id,case_group,zone_j_cost_c1,s4_e_cost_c1,s4_f_cost_c1,s4_g_cost_c1,s4_k_cost_c1,abc_cap_factor,x_spine_multiplier,scenario_count,success_count,sum_classic_interface_objective,sum_balanced_interface_objective,mean_balanced_interface_objective,max_abs_interface_residual_mw,mean_zone_j_equiv_pg_mw,max_zone_j_equiv_pg_mw,mean_s4_equiv_pg_mw,max_s4_equiv_pg_mw,mean_s4_g_equiv_pg_mw,mean_s4_k_equiv_pg_mw,mean_zone_j_device_pg_mw,mean_s4_device_pg_mw,max_branch_overload_count,max_voltage_bound_count,zone_j_zero_dispatch_penalty,selection_score
S4_COST_main_grid_J150_E160_F160_G160_K160_CAP1_X0p75,main_grid,150,160,160,160,160,1,0.75,6,6,252.172905063521,31.2288923493929,5.20481539156548,2144.58659013897,1635.03342797232,1817.32071990916,1069.28196129061,1328.48278435012,420.08615517392,627.573676747531,545.011142657441,97.207451026419,0,19,0,31.2288923493929
S4_COST_main_grid_J150_E160_F160_G160_K160_CAP1_X1,main_grid,150,160,160,160,160,1,1,6,6,251.255960985411,30.8148221027331,5.13580368378884,2121.10783373032,1643.88963153078,1825.28169600548,1067.05395542039,1316.0822251745,401.672220932883,647.66951584134,547.96321051026,97.0049050382171,0,18,0,30.8148221027331
S4_COST_main_grid_J150_E160_F160_G160_K160_CAP1p1_X0p75,main_grid,150,160,160,160,160,1.1,0.75,6,6,373.035946345136,43.8447512416304,7.30745854027173,2494.50537667161,1513.07170518329,1679.67011097912,851.109450072388,1074.85547242515,298.49895017682,552.382173935008,504.357235061098,77.3735863702171,0,22,0,43.8447512416304
S4_COST_main_grid_J150_E160_F160_G160_K160_CAP1p1_X1,main_grid,150,160,160,160,160,1.1,1,6,6,372.808740394747,43.7475323582441,7.29125539304068,2493.114020642,1521.23978389008,1686.32992143526,854.979144014836,1081.49598517489,280.927418116836,574.051725898,507.079927963359,77.7253767286215,0,22,0,43.7475323582441
S4_COST_main_grid_J150_E180_F180_G180_K180_CAP0p8_X0p75,main_grid,150,180,180,180,180,0.8,0.75,6,6,101.667263167224,13.1883045202257,2.19805075337096,2544.21425675148,2680.7854412735,2806.50121306174,830.183702460654,1186.97645500222,331.042924329845,434.39015361622,893.595147091167,75.4712456782412,0,16,0,13.1883045202257
S4_COST_main_grid_J150_E180_F180_G180_K180_CAP0p8_X1,main_grid,150,180,180,180,180,0.8,1,6,6,100.925313871862,13.0732895422309,2.17888159037182,2559.77774282321,2678.59807544707,2807.07469223054,835.206057481032,1186.5841242615,320.0147544807,456.553188883184,892.866025149023,75.9278234073666,0,17,0,13.0732895422309
S4_COST_main_grid_J150_E180_F180_G180_K180_CAP0p9_X0p75,main_grid,150,180,180,180,180,0.9,0.75,6,6,155.315356788655,18.7551898090951,3.12586496818251,2379.82791916313,2577.69835210481,2744.12126834505,511.962300294846,771.902200088703,181.945474683094,325.661303633443,859.232784034936,46.5420272995315,0,17,0,18.7551898090951
S4_COST_main_grid_J150_E180_F180_G180_K180_CAP0p9_X1,main_grid,150,180,180,180,180,0.9,1,6,6,155.403958807296,18.7438695513001,3.12397825855001,2392.3039583343,2575.6170635142,2740.36690012205,518.814790691692,780.556964417493,170.982172770366,344.560846968523,858.5390211714,47.164980971972,0,17,0,18.7438695513001
S4_COST_main_grid_J150_E180_F180_G180_K180_CAP1_X0p75,main_grid,150,180,180,180,180,1,0.75,6,6,249.492218353963,29.6643277597739,4.94405462662898,2119.88053531045,2389.98084364415,2619.52551167902,309.608465271817,490.795494511677,86.9636322738036,222.644832998014,796.660281214718,28.1462241156198,0,19,0,29.6643277597739
S4_COST_main_grid_J150_E180_F180_G180_K180_CAP1_X1,main_grid,150,180,180,180,180,1,1,6,6,249.590148137513,29.6920513027064,4.94867521711773,2133.24061035858,2383.61990799226,2606.72691154389,324.032227364263,512.179645955364,81.4484736905226,242.58375367374,794.539969330753,29.457475214933,0,18,0,29.6920513027064
