scenario_id,iteration,zone,scheduled_generation_mw,pmin_mw,pmax_mw,upward_headroom_mw,downward_headroom_mw,loss_participation_factor,sensitivity_participation_factor,finite_difference_step_mw
S2_2025_WINTER_PEAK_PUBLIC,4,B,279.863862051134,0,288.8,8.93613794886619,279.863862051134,0.00119193144485753,0.00153240315269758,-25
S2_2025_WINTER_PEAK_PUBLIC,4,C,1804.36064392453,0,2511.2,706.839356075466,1804.36064392453,0.0942805560777914,0.12121151932734,-25
S2_2025_WINTER_PEAK_PUBLIC,4,D,370.262259482761,0,984.9807077,614.718448217239,370.262259482761,0.0819931666876717,0.0634939900215284,25
S2_2025_WINTER_PEAK_PUBLIC,4,E,294.944526777187,0,600,305.055473222813,294.944526777187,0.0406893014807531,0.0505782168192246,25
S2_2025_WINTER_PEAK_PUBLIC,4,F,1424.71698086374,0,2168.003995,743.287014136255,1424.71698086374,0.0991420644906221,0.127461703292761,-25
S2_2025_WINTER_PEAK_PUBLIC,4,G,898.226883454022,0,2200,1301.77311654598,898.226883454022,0.17363477610936,0.154031385361201,25
S2_2025_WINTER_PEAK_PUBLIC,4,H,0,0,0,0,0,0,0,0
S2_2025_WINTER_PEAK_PUBLIC,4,I,4.70584089854081,0,565.099092,560.393251101459,4.70584089854081,0.0747470936028152,0.000806975616343533,25
S2_2025_WINTER_PEAK_PUBLIC,4,J,2374.5614789618,0,4197.07746,1822.5159810382,2374.5614789618,0.243093170564996,0.312532018995858,-25
S2_2025_WINTER_PEAK_PUBLIC,4,K,966.496279597779,0,2384.929342,1418.43306240222,966.496279597779,0.18919526304806,0.165738482821209,25
S2_2025_WINTER_PEAK_PUBLIC,5,A,1283.66044289481,0,1292.8,9.13955710519303,1283.66044289481,0.00121960716820199,0.00159670475803504,-25
S2_2025_WINTER_PEAK_PUBLIC,5,B,283.440709422846,0,288.8,5.35929057715435,283.440709422846,0.000715158875707606,0.000936282214306925,-25
S2_2025_WINTER_PEAK_PUBLIC,5,C,1854.00119397442,0,2511.2,657.198806025576,1854.00119397442,0.0876984656509479,0.114814366656755,-25
S2_2025_WINTER_PEAK_PUBLIC,5,D,369.465383177712,0,984.9807077,615.515324522288,369.465383177712,0.0821361042831594,0.0645465779642538,25
S2_2025_WINTER_PEAK_PUBLIC,5,E,250.532823635589,0,600,349.467176364411,250.532823635589,0.0466338875771457,0.0437687457869929,25
S2_2025_WINTER_PEAK_PUBLIC,5,F,1421.73575049209,0,2168.003995,746.268244507912,1421.73575049209,0.0995841432878091,0.130375032735361,-25
S2_2025_WINTER_PEAK_PUBLIC,5,G,897.549063133278,0,2200,1302.45093686672,897.549063133278,0.173802733495244,0.156804191185644,25
S2_2025_WINTER_PEAK_PUBLIC,5,H,0,0,0,0,0,0,0,0
S2_2025_WINTER_PEAK_PUBLIC,5,I,3.08538431991992,0,565.099092,562.01370768008,3.08538431991992,0.0749967000489009,0.000539024787227783,25
S2_2025_WINTER_PEAK_PUBLIC,5,J,2373.61891037279,0,4197.07746,1823.45854962721,2373.61891037279,0.24332746120636,0.318563023214236,-25
S2_2025_WINTER_PEAK_PUBLIC,5,K,961.954841363637,0,2384.929342,1422.97450063636,961.954841363637,0.189885738406523,0.168056050697188,25
S2_2025_WINTER_PEAK_PUBLIC,6,A,1287.31748735388,0,1292.8,5.48251264611577,1287.31748735388,0.000731799266566119,0.000971210968837652,-25
S2_2025_WINTER_PEAK_PUBLIC,6,B,285.585428675175,0,288.8,3.21457132482527,285.585428675175,0.000429095528844233,0.000569451843032805,-25
S2_2025_WINTER_PEAK_PUBLIC,6,C,1891.61206842231,0,2511.2,619.587931577687,1891.61206842231,0.0827054117618733,0.109758177344836,-25
S2_2025_WINTER_PEAK_PUBLIC,6,D,368.904620085799,0,984.9807077,616.076087614201,368.904620085799,0.082236639030476,0.0653503669956969,25
S2_2025_WINTER_PEAK_PUBLIC,6,E,217.324582116006,0,600,382.675417883994,217.324582116006,0.0510812559618942,0.0384984096842278,25
S2_2025_WINTER_PEAK_PUBLIC,6,F,1418.83959320975,0,2168.003995,749.164401790252,1418.83959320975,0.100001869936912,0.132712267430313,-25
