public_scenario_id,eta,status,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,losses_mw,boundary_equiv_pg_mw,min_voltage,max_voltage,voltage_upper_bound_count,voltage_lower_bound_count,rate_a_overload_count,max_rate_a_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,note
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.4,ok,0,0,258558.428867876,10902.2197987,11104.9111483451,202.691349645103,-496.767578688107,0.900000267410083,1.1,13,3,0,1.46565071190707e-09,2496.48195743823,2051.43427999614,523.77950936338,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.5,ok,0,0,258616.047050173,10902.2197987,10695.373786064,-206.846012636028,-343.963041906719,0.9,1.1,13,2,0,9.59698809310794e-09,2498.54088056499,1934.27310574646,864.370118729835,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.6,ok,0,0,258408.277043463,10902.2197987,10246.8479731259,-655.371825574062,-191.158505125334,0.969147074018696,1.1,12,0,0,1.04191713035107e-08,2499.27054876043,1813.96977934582,1205.42618638768,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.7,ok,0,0,261392.029071373,10902.2197987,9848.258085414,-1053.961713286,-38.3539683439478,0.956629756153044,1.1,12,0,0,0,2499.64577445736,1692.60027071201,1546.88905268328,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.8,ok,0,0,262809.711651408,10902.2197987,9436.64152506232,-1465.57827363768,114.450568437438,0.942964626290747,1.1,12,0,0,1.71585270436481e-08,2499.82019556713,1570.47866171726,1888.75835215108,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.9,ok,0,0,260064.90909666,10902.2197987,9031.17496321488,-1871.04483548512,267.255105218824,0.939018636530238,1.1,12,0,0,5.70526026422158e-09,2499.88335294506,1447.78969820153,2231.0455686275,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,ok,0,0,266525.736113503,10902.2197987,8615.1284691798,-2287.0913295202,420.059642000211,0.980168877554507,1.1,12,0,0,1.9033450371353e-08,2499.87092742171,1324.61411581127,2573.77913523984,
S6_2025_LOW_TOTAL_EAST_PUBLIC,0,ok,1,1,233621.226055594,10902.2197987,11186.3698611801,284.150062480072,-1107.98572581365,1.0043026916133,1.1,10,0,0,0,1379.29602561692,1524.50919710805,-835.348702243392,
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.1,ok,1,1,233560.171017588,10902.2197987,11239.700443188,337.480644488021,-1036.1086596958,1.01461396114113,1.1,11,0,0,0,1653.43803824408,1714.55010904337,-506.960210051304,
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.2,ok,1,1,234065.785124427,10902.2197987,11308.7137060911,406.493907391101,-964.231593577944,1.02371149039015,1.1,12,0,0,0,1901.69501391961,1876.62385482142,-178.166596721449,
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.3,ok,1,1,236996.325188486,10902.2197987,11387.6810372895,485.461238589478,-892.354527460089,1.01116179734668,1.1,16,0,0,6.21907929598819e-08,2139.04313341227,2025.25899981246,151.00508175386,
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.4,ok,0,0,258488.701554723,10902.2197987,11487.2625573273,585.042758627347,-820.477461342236,0.900016596725042,1.1,12,0,0,0,2494.26401320424,2271.21519890235,480.679124904341,
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.5,ok,0,0,258737.712350703,10902.2197987,11113.2932851317,211.073486431686,-748.600395224381,0.9,1.1,13,1,0,0,2496.50122859806,2208.92417607757,810.434739824518,
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.6,ok,0,0,258390.386806356,10902.2197987,10770.0284902472,-132.191308452795,-676.723329106529,1.0010146696291,1.1,12,0,0,0,2497.40182982928,2143.59421879302,1140.6210659114,
