scenario_id,row_type,zone,target_load_mw,external_import_mw,generation_prior_mw,pmin_mw,pmax_mw,target_at_pmin,target_at_pmax,target_generation_mw,actual_generation_mw,generation_error_mw,target_native_net_injection_mw,actual_native_net_injection_mw,target_effective_net_injection_mw,actual_effective_net_injection_mw
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,B,627.795641485914,0,257.069626465179,0,288.8,0,0,261.674813853737,261.674813853737,0,-366.120827632176,-366.120827632176,-366.120827632176,-366.120827632176
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,C,982.894160603662,24.3180684548097,1617.47260884832,0,2511.2,0,0,1035.34434017418,1035.34434017418,0,52.4501795705168,52.4501795705168,76.7682480253265,76.7682480253265
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,D,311.387153185743,0,222.690749850661,0,984.9807077,0,0,712.163286681399,712.163286681399,0,400.776133495656,400.776133495656,400.776133495656,400.776133495656
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,E,460.610932611947,0,590.2098024225,0,600,0,0,551.47949422771,551.47949422771,0,90.8685616157636,90.8685616157636,90.8685616157636,90.8685616157636
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,F,818.670751925386,-22.6423588005974,1212.48757890787,0,2168.003995,0,0,1224.39213544109,1224.39213544109,0,405.721383515703,405.721383515703,383.079024715106,383.079024715106
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,G,642.602142464355,-21.8045039734912,1106.11439000662,0,2200,0,0,874.555940774926,874.555940774926,0,231.953798310571,231.953798310571,210.14929433708,210.14929433708
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,H,183.407483859041,0,0,0,0,1,1,0,0,0,-183.407483859041,-183.407483859041,-183.407483859041,-183.407483859041
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,I,430.032289286905,0,0.0381007690133,0,565.099092,0,0,57.4397047599055,57.4397047599055,7.105427357601e-15,-372.592584526999,-372.592584526999,-372.592584526999,-372.592584526999
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,J,3952.69200033174,12.1590342274048,2943.30145215314,0,4197.07746,0,0,2251.87848484886,2459.83818991975,207.959705070889,-1700.81351548288,-1492.85381041199,-1688.65448125548,-1480.69477618459
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,K,1546.95747179107,0,1473.35073236681,0,2384.929342,0,0,2183.19955860721,2183.19955860721,0,636.24208681614,636.24208681614,636.24208681614,636.24208681614
