model_branch_row,model_from_bus,model_to_bus,overlay_path_id,npcc_attachment_from_bus,npcc_attachment_to_bus,source_model,source_case,source_branch_row,source_from_bus,source_to_bus,source_circuit_id,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,branch_classification,construction_method,dlr_eligible,dlr_data_status,mapping_confidence,residual_overlap_status,implementation_status
273,9003,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1214,589,594,PERFORM_ROW_1214,0.00073,0.01109,0.28674,1500,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
274,9003,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1215,589,594,PERFORM_ROW_1215,0.00073,0.01109,0.28674,1500,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
275,9003,1497,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1216,589,1497,PERFORM_ROW_1216,0.00106,0.0574,0,500,500,500,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
276,9003,1497,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1217,589,1497,PERFORM_ROW_1217,0.00106,0.0574,0,500,500,500,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
277,593,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1226,593,594,PERFORM_ROW_1226,5e-05,0.00082,0.02111,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
278,593,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1227,593,594,PERFORM_ROW_1227,4e-05,0.00055,0.01432,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
279,593,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1228,593,594,PERFORM_ROW_1228,5e-05,0.0007,0.01801,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
280,593,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1229,593,594,PERFORM_ROW_1229,4e-05,0.00055,0.01426,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
281,593,1501,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1234,593,1501,PERFORM_ROW_1234,0.00133,0.0571,0,850,850,850,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
282,593,1501,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1235,593,1501,PERFORM_ROW_1235,0.00133,0.0571,0,850,850,850,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
283,1136,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1236,1136,594,PERFORM_ROW_1236,0.00046,0.009,0.17988,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
284,1136,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1237,1136,594,PERFORM_ROW_1237,0.00046,0.009,0.17991,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
285,594,1502,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1238,594,1502,PERFORM_ROW_1238,0.00124,0.0669,0,700,700,700,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
286,594,1502,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1239,594,1502,PERFORM_ROW_1239,0.00124,0.0669,0,700,700,700,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
287,594,1502,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1240,594,1502,PERFORM_ROW_1240,0.00124,0.0669,0,700,700,700,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
288,595,600,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1241,595,600,PERFORM_ROW_1241,0.00071,0.00357,0.02704,385,400,432,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
