case_id,scenario_id,external_interface_name,gen_index,bus_id,pg_mw,qg_mvar,target_q_mvar,q_deviation_mvar,qmin_mvar,qmax_mvar,at_qmin,at_qmax
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_NORTHFIELD,37,37,95.3028474725107,-243.555223918493,23.8853956683908,-267.440619586883,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_PV,38,73,142.954771208766,107.858125115875,35.8280935025862,72.0300316132885,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,OH_NY_NIAGARA,39,54,406.012236517478,-705.579729702876,101.756508871492,-807.336238574368,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WATERCURE,40,66,-27.6450101593817,38.2435175645517,-6.92824201780835,45.1717595823601,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WRHL,41,67,-11.8484329254493,41.5293362763151,-2.96924657906072,44.4985828553759,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_RAMAPO,42,75,-19.7467215424155,414.38442528778,-4.94874429843453,419.333169586214,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_GOETHALS,43,81,-19.7467215424155,496.24704917031,-4.94874429843453,501.195793468745,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,HQ_NY_MOSES,36,48,-482.986326633401,140.019236775847,-121.047533070407,261.066769846254,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_NORTHFIELD,37,37,95.3028474725107,500,23.8853956683908,476.114604331609,-500,500,0,1
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_PV,38,73,142.954771208766,260.732130234208,35.8280935025862,224.904036731622,-500,500,0,0
