case_id,check_group,scenario_id,zone_j_pmax_mw,voltage_penalty_rho,zone,load_mw,local_pg_excluding_boundary_mw,boundary_equiv_pg_mw,s4_equiv_pg_mw,zone_j_equiv_pg_mw,local_pmax_excluding_boundary_mw,local_net_injection_mw
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,E,451.158416699447,0,0,0,0,600,-451.158416699447
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,F,742.959560399832,649.041162544476,160.237592293099,81.0371675444762,0,2168.003995,-93.9183978553558
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,G,760.143751136354,377.828834287588,223.392778812934,377.828834287588,0,2200,-382.314916848766
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,H,201.149793965221,0,0,0,0,0,-201.149793965221
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,I,418.565898348084,0,0,0,0,565.099092,-418.565898348084
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,J,3637.46700192704,4182.40083187483,-16.9631096267144,0,2985.32337187483,4197.07746,544.933829947788
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,K,1597.46063161409,1081.11510509503,0,496.185763095027,0,2384.929342,-516.345526519063
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,A,932.340491582214,1292.8,-137.336073147412,0,0,1292.8,360.459508417786
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,B,636.148567337793,288.8,0,0,0,288.8,-347.348567337793
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,C,910.820614656522,2511.2,-38.380801838862,0,0,2511.2,1600.37938534348
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,D,170.185373086867,977.172470901358,515.851057154045,0,0,984.9807077,806.987097814491
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,E,444.549582437007,0,0,0,0,600,-444.549582437007
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,F,785.822247965843,568.003995,-83.5823626399999,0,0,2168.003995,-217.818252965843
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,G,816.002322378635,169.193848471912,-144.564444879431,169.193848471912,0,2200,-646.808473906723
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,H,227.774482133019,0,0,0,0,0,-227.774482133019
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,I,486.15217802916,0,0,0,0,565.099092,-486.15217802916
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,J,3639.49544326512,4413.23687618357,-19.190400919431,0,3216.15941618357,4697.07746,773.741432918455
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S1_2025_SUMMER_PEAK_PUBLIC,3500,0,K,1852.92849582782,1010.16760175724,0,425.238259757243,0,2384.929342,-842.760894070577
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,A,930.721354169113,1292.8,877.917709748932,0,0,1292.8,362.078645830888
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,B,693.312159348906,288.8,0,0,0,288.8,-404.512159348906
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,C,1131.40543191626,2511.2,326.342990880306,0,0,2511.2,1379.79456808374
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,D,257.652139346724,984.9807077,-164.079120401418,0,0,984.9807077,727.328568353276
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,E,620.716578688692,0,0,0,0,600,-620.716578688692
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,F,871.041660003481,568.003995,38.1343323888855,0,0,2168.003995,-303.03766500348
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,G,763.133766267374,0,220.372494023481,0,0,2200,-763.133766267374
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,H,252.133160811041,0,0,0,0,0,-252.133160811041
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,I,450.569665360907,0,0,0,0,565.099092,-450.569665360907
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,J,3459.55499275624,3495.84372366406,163.171495440153,0,2298.76626366406,4697.07746,36.2887309078219
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S2_2025_WINTER_PEAK_PUBLIC,3500,0,K,1471.97889003126,584.929342,0,0,0,2384.929342,-887.049548031261
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,A,1244.86540457269,1292.8,406.014236517478,0,0,1292.8,47.9345954273099
