case_id,case_group,scenario_id,include_s4,apply_abc_caps,x_spine_multiplier,device_group,device_name,zone,bus_id,bus_name,gen_index,pg_mw,qg_mvar,pmax_mw,pmin_mw,qmax_mvar,qmin_mvar,fraction_pmax_used
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NEW_SCOTLAND_F_EQ_SUPPLY,F,37,NEW SEATHED,38,0,0,300,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PLEASANT_VLY_G_EQ_SUPPLY,G,73,PLEASANT VLY,39,449.78746066728,0,900,0,0,-0,0.499763845185867
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,RAMAPO_G_EQ_SUPPLY,G,76,RAMAPO,40,699.742706305685,0,700,0,0,-0,0.99963243757955
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,LEEDS_G_EQ_SUPPLY,G,39,LEEDS,41,0,0,600,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NORTHPORT_K_EQ_SUPPLY,K,80,NORTHPORT,42,939.966841049196,0,1200,0,0,-0,0.78330570087433
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EAST_GARDEN_CITY_K_EQ_SUPPLY,K,9003,EAST GARDEN CITY,43,600,0,600,0,0,-0,1
S4_EQUIV_ONLY,s4_equiv_only,S6_2025_LOW_TOTAL_EAST_PUBLIC,1,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,0,0,1200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S6_2025_LOW_TOTAL_EAST_PUBLIC,1,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S6_2025_LOW_TOTAL_EAST_PUBLIC,1,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S6_2025_LOW_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EDIC_E_EQ_SUPPLY,E,43,EDIC,33,0,0,400,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S6_2025_LOW_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PORTER_E_EQ_SUPPLY,E,44,PORTER,34,0,0,200,0,0,-0,0
