scenario_id,variant_id,zone,npcc_bus_id,npcc_bus_name,zone_target_generation_mw,perform_bus_weight,ideal_bus_pg_mw,applied_bus_pg_mw,capacity_redispatch_mw,bus_pmin_mw,bus_pmax_mw,source_rule,confidence
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,F,37,NEW SEATHED,993.746927215201,NaN,110.550223771275,110.550223771275,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,G,73,PLEASANT VLY,935.442568774488,NaN,325.871613985751,325.871613985751,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,G,76,RAMAPO,935.442568774488,NaN,414.056521488942,414.056521488942,0,0,700,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,G,39,LEEDS,935.442568774488,NaN,195.514433299795,195.514433299795,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,K,9003,EAST GARDEN CITY,1603.17038873812,NaN,482.182422455747,482.182422455747,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,F,37,NEW SEATHED,993.746927215201,0.210302229460617,208.987194312994,208.987194312994,0,0,300,Residual Zone-F plants at New Scotland proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,F,38,GILBOA,993.746927215201,0.28871900454521,286.913623595434,286.913623595434,0,0,500,PERFORM Blenheim-Gilboa plant,high
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,F,41,ROTTERDAM,993.746927215201,0.099654470089088,99.0313234342903,99.0313234342903,0,0,300,PERFORM Selkirk cluster at Rotterdam proxy,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,F,42,ALBANY,993.746927215201,0.401324295905085,398.814785872482,398.814785872482,0,0,1068.003995,PERFORM Bethlehem/Empire Capital-region cluster,medium
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,D,47,MOSES W,977.800993437805,0.959329106258799,938.032953133655,938.032953133655,0,0,944.920662,PERFORM Zone-D total allocated to Moses W/E proxies,low
