audit_group,scenario_id,voltage_reference_set,sweep_direction,start_mode,perturbation_id,boundary_q_mode,reference_weight,external_interface_name,gen_index,bus_id,pg_mw,qg_mvar,target_q_mvar,q_deviation_mvar,qmin_mvar,qmax_mvar
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,PJM_NY_RAMAPO,42,75,-19.7464811292911,396.577222617471,-4.94874429843453,401.525966915905,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,PJM_NY_GOETHALS,43,81,-19.746483217981,499.977501494305,-4.94874429843453,504.926245792739,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,HQ_NY_MOSES,36,48,-482.986107447108,-5.66171325680162,-121.047533070407,115.385819813605,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,NE_NY_NORTHFIELD,37,37,95.303065475424,-484.869357103421,23.8853956683908,-508.754752771812,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,NE_NY_PV,38,73,142.9549733012,212.674717868731,35.8280935025862,176.846624366145,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,OH_NY_NIAGARA,39,54,406.012466945176,-436.687421955763,101.756508871492,-538.443930827255,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,PJM_NY_WATERCURE,40,66,-27.6447906291928,139.122119567254,-6.92824201780835,146.050361585063,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,PJM_NY_WRHL,41,67,-11.848213894397,64.0585433370246,-2.96924657906072,67.0277899160853,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,PJM_NY_RAMAPO,42,75,-19.7465237401807,393.577544648919,-4.94874429843453,398.526288947353,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,PJM_NY_GOETHALS,43,81,-19.7465249603137,499.977168199109,-4.94874429843453,504.925912497543,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,HQ_NY_MOSES,36,48,-482.986048464634,-3.91282634760993,-121.047533070407,117.134706722797,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,NE_NY_NORTHFIELD,37,37,95.3031228358016,-485.959148571412,23.8853956683908,-509.844544239803,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,NE_NY_PV,38,73,142.955023865821,227.700170601832,35.8280935025862,191.872077099246,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,OH_NY_NIAGARA,39,54,406.012528799625,-435.941086672242,101.756508871492,-537.697595543734,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,PJM_NY_WATERCURE,40,66,-27.6447327344743,138.451486522148,-6.92824201780835,145.379728539957,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,PJM_NY_WRHL,41,67,-11.8481561683321,63.2270032344412,-2.96924657906072,66.196249813502,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,PJM_NY_RAMAPO,42,75,-19.7464757726405,390.578372795535,-4.94874429843453,395.527117093969,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,PJM_NY_GOETHALS,43,81,-19.7464777504395,499.976829185128,-4.94874429843453,504.925573483562,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,HQ_NY_MOSES,36,48,-482.986089893023,144.438986423707,-121.047533070407,265.486519494114,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,NE_NY_NORTHFIELD,37,37,95.3030830292949,-492.838023262781,23.8853956683908,-516.723418931171,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,NE_NY_PV,38,73,142.954989724865,242.805832727328,35.8280935025862,206.977739224742,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,OH_NY_NIAGARA,39,54,406.012484868443,-435.14469099234,101.756508871492,-536.901199863832,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,PJM_NY_WATERCURE,40,66,-27.644773014419,137.746140703898,-6.92824201780835,144.674382721706,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,PJM_NY_WRHL,41,67,-11.8481962975217,62.3608772586793,-2.96924657906072,65.3301238377401,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,PJM_NY_RAMAPO,42,75,-19.7465078582712,387.578748896901,-4.94874429843453,392.527493195336,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,PJM_NY_GOETHALS,43,81,-19.7465092833386,499.97647558947,-4.94874429843453,504.925219887904,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,HQ_NY_MOSES,36,48,-482.986326633401,-121.047433070407,-121.047533070407,0.00010000000000332,-121.047633070407,-121.047433070407
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,NE_NY_NORTHFIELD,37,37,95.3028474725107,23.8853313042454,23.8853956683908,-6.43641453841326e-05,23.8852956683908,23.8854956683908
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,NE_NY_PV,38,73,142.954771208766,35.8281911253149,35.8280935025862,9.76227287026177e-05,35.8279935025862,35.8281935025862
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.8,OH_NY_NIAGARA,39,54,406.012236517478,101.75641074359,101.756508871492,-9.81279020777492e-05,101.756408871492,101.756608871492
