scenario_id,variant,ratings_relaxed,voltage_relaxed,status,model,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,generation_minus_load_mw,boundary_equiv_pg_mw,min_voltage,max_voltage,above_original_vmax_count,below_original_vmin_count,at_solver_vmax_count,at_solver_vmin_count,original_rate_overload_count,max_original_rate_overload_mva,solver_rate_overload_count,max_solver_rate_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,note
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ACOPF_RELAXED_V_NO_RATINGS,1,1,ok,AC,1,1,225779.077022621,10902.2197987,12011.2695915038,1109.0497928038,82.3126423956917,1.31115686967539,1.5,46,0,19,0,5,2267.07636105582,0,0,4761.55551902887,4187.03267704039,3198.36202834992,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,DCOPF_MIPS,0,0,ok,DC,0,-1,218611.397363934,10902.2197987,9444.34096164702,-1457.87883705299,226.43932278399,1,1,0,0,0,0,0,0,0,0,2499.99437700235,1959.74464074832,1297.18369349608,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,DCOPF_IPOPT,0,0,ok,DC,0,0,232966.87963417,10902.2197987,8348.09975947847,-2554.12003922154,-47.7680621974231,1,1,0,0,0,0,1,2.4999268589454e-05,1,2.4999268589454e-05,2500.00002499927,1484.00392480012,2580.02380680146,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,DCOPF_IPOPT_NO_RATINGS,1,0,ok,DC,1,1,192032.927702547,10902.2197987,10902.2196861364,-0.000112563648144715,-47.763236693892,1,1,0,0,0,0,11,4901.2259585999,0,0,7401.2259585999,6385.22985840166,3777.10128076784,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,ACOPF_NORMAL,0,0,ok,AC,0,0,268574.677810414,10902.2197987,8562.79981564569,-2339.41998305431,-47.7659494528907,0.997128064656544,1.1,0,0,11,0,0,1.701073415461e-08,0,1.701073415461e-08,2498.55716587837,1390.77992984622,2588.77703362944,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,ACOPF_NO_RATINGS,1,0,ok,AC,0,0,269457.588276431,10902.2197987,8842.12003049392,-2060.09976820608,-47.7660523117357,0.900019095425819,1.1,0,0,11,0,1,192.122121042755,0,0,2687.6941566112,1556.92992938604,2589.00490234946,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,ACOPF_RELAXED_V,0,1,ok,AC,0,0,247014.203013845,10902.2197987,8514.59860795996,-2387.62119074004,-47.7682416972226,1.25948500262131,1.5,46,0,5,0,0,0,0,0,2499.97204610911,1438.73773457704,2584.56206178135,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,ACOPF_RELAXED_V_NO_RATINGS,1,1,ok,AC,0,0,291928.729488231,10902.2197987,11728.7742221552,826.554423455194,-47.7652366938921,1.24055355873034,1.5,46,0,17,0,6,2681.85749572784,0,0,5156.84919904706,3858.64808439506,2585.45677128279,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,DCOPF_MIPS,0,0,ok,DC,0,-1,218878.07061898,10902.2197987,9633.17635933309,-1269.04343936691,684.974007340563,1,1,0,0,0,0,0,0,0,0,2499.99415388804,1917.91792953639,1293.84958024693,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,DCOPF_IPOPT,0,0,ok,DC,0,0,242418.245015962,10902.2197987,8367.0644625834,-2535.1553361166,420.062821047929,1,1,0,0,0,0,1,2.4999268589454e-05,1,2.4999268589454e-05,2500.00002499927,1419.02442437806,2565.03808542482,
