device_key,source_bus,model_bus,status,source_reference_vg_pu,mapped_vg_pu,policy,raw_remote_control_omitted
PERFORM2019:GEN:95:C1,95,53,1,1.01432074478215,1.03742564535252,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:116:1,116,71,1,1.0461269814364,1.0461269814364,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:125:1,125,20125,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:125:C1,125,20125,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:127:C1,127,20127,1,1.03403471153277,1.03403471153277,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:128:1,128,53,1,1.0421532546769,1.03742564535252,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:150:1,150,72,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:150:2,150,72,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:150:C1,150,72,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:150:C2,150,72,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:161:1,161,61,1,1.00866171151636,1.0126056823383,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:178:C1,178,51,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:193:C1,193,20193,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:194:1,194,20194,1,1.02007308637009,1.02007308637009,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:199:1,199,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:199:2,199,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
