model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,bounded_pg_mw,bounded_qg_mvar,replay_pg_mw,replay_qg_mvar,pg_movement_mw,qg_movement_mvar
23,PERFORM2019:GEN:18:4,23,18,20018,native_generation,K,exact_source_region,1,54.6515990796374,-9.12163608101911,40.000001,55.000001,-30.3,35.800001,54.6516023348127,-15.845036851788,54.6516023348127,-14.6817952020365,3.25517533639186e-06,-5.56015912101741
24,PERFORM2019:GEN:18:5,24,18,20018,native_generation,K,exact_source_region,0,0,0,44.100001,55.000001,-30.3,35.800001,0,0,0,0,0,0
25,PERFORM2019:GEN:19:1,25,19,20019,native_generation,K,exact_source_region,1,15.8985811713349,0.708909315653051,10.6,16,-8.8,10.4,15.8985839535751,0.729787837332466,15.8985839535751,-1.03391327901375,2.78224011296402e-06,-1.7428225946668
26,PERFORM2019:GEN:19:2,26,19,20019,native_generation,K,exact_source_region,0,0,0,40.000001,386.999989,-212.899995,251.600003,0,0,0,0,0,0
27,PERFORM2019:GEN:19:3,27,19,20019,native_generation,K,exact_source_region,1,384.548173036762,-38.3524621115356,30.000001,386.999989,-212.899995,251.600003,384.548184058492,-25.6052324439494,384.548184058492,-25.0173248767739,1.10217303017635e-05,13.3351372347618
28,PERFORM2019:GEN:19:4,28,19,20019,native_generation,K,exact_source_region,1,386.970590802197,-38.3524621115356,40.000001,386.999989,-212.899995,251.600003,386.970594124747,-25.6052324439494,386.970594124747,-25.0173248767739,3.322550185203e-06,13.3351372347618
29,PERFORM2019:GEN:19:5,29,19,20019,native_generation,K,exact_source_region,1,386.970590802197,-38.3524621115356,40.000001,386.999989,-212.899995,251.600003,386.970594124747,-25.6052324439494,386.970594124747,-25.0173248767739,3.322550185203e-06,13.3351372347617
30,PERFORM2019:GEN:21:1,31,21,20021,native_generation,E,exact_source_region,1,10.7824892868158,-1.94048318991805,0.2,11,-6.1,7.2,10.782492181577,-0.959703118680886,10.782492181577,-1.07582529181448,2.89476120407528e-06,0.86465789810357
31,PERFORM2019:GEN:21:2,32,21,20021,native_generation,E,exact_source_region,1,11.7627149359427,-2.25475546552371,0.2,12,-6.6,7.8,11.7627178581228,-1.14839562638529,11.7627178581228,-1.16029204527282,2.92218013342449e-06,1.09446342025089
32,PERFORM2019:GEN:21:3,33,21,20021,native_generation,E,exact_source_region,1,12.7429398049489,-2.65306551587941,0.2,13,-7.2,8.5,12.7429427503363,-1.39723137944171,12.7429427503363,-1.26920729935995,2.94538742373618e-06,1.38385821651946
33,PERFORM2019:GEN:24:1,34,24,68,native_generation,C,assumed_same_zone_same_kV_boundary_aggregation,1,8.82203640528767,-0.46519208538436,3,9,-5,5.9,8.82203965535335,0.886874090011754,8.82203965535335,2.79856133521212,3.25006567081232e-06,3.26375342059648
34,PERFORM2019:GEN:24:2,35,24,68,native_generation,C,assumed_same_zone_same_kV_boundary_aggregation,1,8.82203640528767,-0.46519208538436,3,9,-5,5.9,8.82203965535335,0.886874090011755,8.82203965535335,2.79856133521212,3.25006567081232e-06,3.26375342059648
35,PERFORM2019:GEN:24:3,36,24,68,native_generation,C,assumed_same_zone_same_kV_boundary_aggregation,1,8.82203640528767,-0.46519208538436,3,9,-5,5.9,8.82203965535335,0.886874090011755,8.82203965535335,2.79856133521212,3.25006567081232e-06,3.26375342059648
36,PERFORM2019:GEN:24:4,37,24,68,native_generation,C,assumed_same_zone_same_kV_boundary_aggregation,1,8.82203640528767,-0.46519208538436,3,9,-5,5.9,8.82203965535335,0.886874090011755,8.82203965535335,2.79856133521212,3.25006567081232e-06,3.26375342059648
37,PERFORM2019:GEN:26:C1,38,26,20026,native_generation,J,exact_source_region,1,594.976234922302,86.53913042454,320.000005,594.999981,-416.499996,446.25001,594.976235873903,24.7098933752811,594.976235873903,25.0358077343812,9.51601805354585e-07,-61.5033226901588
38,PERFORM2019:GEN:26:C2,39,26,20026,native_generation,J,exact_source_region,1,649.97174835772,101.012456111197,320.000005,650,-455.000019,487.5,649.971751232894,27.675825331061,649.971751232894,27.3500250622827,2.87517377728363e-06,-73.6624310489147
39,PERFORM2019:GEN:27:C1,40,27,68,native_generation,C,assumed_same_zone_source_distance_aggregation,1,121.823253288762,-37.687737239195,41.999999,122.599995,-85.820001,91.949999,121.823256843875,64.651563974234,121.823256843875,41.3680951982255,3.55511305372147e-06,79.0558324374205
40,PERFORM2019:GEN:28:C1,41,28,20028,native_generation,E,exact_source_region,0,0,0,34.999999,62.900001,-44.029999,47.174999,0,0,0,0,0,0
41,PERFORM2019:GEN:29:1,42,29,65,native_generation,C,assumed_same_zone_source_distance_aggregation,1,111.290417921758,-33.6147663544831,31.999999,112,-61.6,72.799999,111.290421034722,-0.165151920699161,111.290421034722,-0.165151235715171,3.11296362554003e-06,33.449615118768
