source_branch_row,model_branch_row,device_key,from_in_exact_region,to_in_exact_region
989,397,PERFORM2019:AC:485:490:2,1,1
990,398,PERFORM2019:AC:486:778:1,1,1
991,399,PERFORM2019:AC:487:488:1,1,1
992,400,PERFORM2019:AC:487:778:1,1,1
993,401,PERFORM2019:AC:489:783:1,1,1
994,402,PERFORM2019:AC:489:795:1,1,1
995,403,PERFORM2019:AC:490:990:1,1,1
996,404,PERFORM2019:AC:491:991:1,1,1
997,405,PERFORM2019:AC:492:992:1,1,1
998,406,PERFORM2019:AC:493:1206:1,1,1
999,407,PERFORM2019:AC:494:1207:1,1,1
1000,408,PERFORM2019:AC:495:1019:1,1,1
1001,409,PERFORM2019:AC:495:1019:2,1,1
1002,410,PERFORM2019:AC:495:1203:1,1,1
1003,411,PERFORM2019:AC:495:1207:1,1,1
1004,412,PERFORM2019:AC:495:1559:1,0,1
1005,413,PERFORM2019:AC:496:497:1,1,1
1006,414,PERFORM2019:AC:497:1223:1,1,1
1007,415,PERFORM2019:AC:497:1543:1,1,1
1008,416,PERFORM2019:AC:498:499:1,1,1
1009,417,PERFORM2019:AC:498:1223:1,1,1
1010,418,PERFORM2019:AC:499:1543:1,1,1
1011,419,PERFORM2019:AC:500:1481:1,1,1
1012,420,PERFORM2019:XFMR:501:1481:1,1,1
1013,421,PERFORM2019:AC:501:1543:1,1,1
1014,422,PERFORM2019:AC:502:701:1,1,1
1015,423,PERFORM2019:AC:503:511:1,1,1
1016,424,PERFORM2019:AC:503:511:2,1,1
1017,425,PERFORM2019:AC:503:710:1,1,1
1018,426,PERFORM2019:AC:503:728:1,1,1
1019,427,PERFORM2019:AC:504:717:1,1,1
1020,428,PERFORM2019:AC:505:1520:1,1,1
1021,429,PERFORM2019:AC:506:656:1,1,1
1022,430,PERFORM2019:AC:506:804:1,1,1
1023,431,PERFORM2019:AC:507:805:1,1,1
1024,432,PERFORM2019:AC:507:805:2,1,1
1025,433,PERFORM2019:AC:507:813:1,1,1
1026,434,PERFORM2019:AC:507:1520:1,1,1
1027,435,PERFORM2019:AC:508:509:1,1,1
1028,436,PERFORM2019:AC:508:509:2,1,1
1029,437,PERFORM2019:AC:509:804:1,1,1
1030,438,PERFORM2019:AC:509:1520:N,1,1
1031,439,PERFORM2019:AC:510:815:1,1,1
1032,440,PERFORM2019:AC:510:815:2,1,1
1033,441,PERFORM2019:AC:511:711:1,1,1
1034,442,PERFORM2019:AC:511:720:1,1,1
1035,443,PERFORM2019:AC:512:659:1,1,1
1036,444,PERFORM2019:AC:512:803:1,1,1
1037,445,PERFORM2019:XFMR:512:1482:1,1,1
1038,446,PERFORM2019:AC:513:635:1,1,1
1039,447,PERFORM2019:AC:513:705:1,1,1
1040,448,PERFORM2019:AC:514:655:1,1,1
1041,449,PERFORM2019:AC:514:1485:1,1,1
1042,450,PERFORM2019:AC:515:752:1,1,1
1043,451,PERFORM2019:XFMR:515:1483:1,1,1
1044,452,PERFORM2019:AC:516:752:1,1,1
1045,453,PERFORM2019:AC:516:754:1,1,1
1046,454,PERFORM2019:AC:517:523:1,1,1
1047,455,PERFORM2019:AC:517:664:1,1,1
1048,456,PERFORM2019:AC:518:754:1,1,1
1049,457,PERFORM2019:XFMR:518:1484:1,1,1
1050,458,PERFORM2019:AC:519:1211:1,1,1
1051,459,PERFORM2019:AC:519:1212:1,1,1
1052,460,PERFORM2019:AC:520:638:1,1,1
1053,461,PERFORM2019:AC:520:1509:1,1,1
1054,462,PERFORM2019:AC:521:656:1,1,1
1055,463,PERFORM2019:AC:522:657:1,1,1
1056,464,PERFORM2019:AC:522:658:1,1,1
1057,465,PERFORM2019:XFMR:522:1485:1,1,1
1058,466,PERFORM2019:AC:523:825:1,1,1
1059,467,PERFORM2019:AC:523:826:1,1,1
1060,468,PERFORM2019:AC:524:525:1,1,1
1061,469,PERFORM2019:AC:524:537:1,1,1
1062,470,PERFORM2019:AC:525:851:1,1,1
1063,471,PERFORM2019:AC:526:1210:1,1,1
1064,472,PERFORM2019:AC:527:770:1,1,1
1065,473,PERFORM2019:AC:527:1516:1,1,1
1066,474,PERFORM2019:AC:528:666:1,1,1
1067,475,PERFORM2019:AC:528:1487:1,1,1
1068,476,PERFORM2019:AC:529:651:1,1,1
1069,477,PERFORM2019:AC:529:651:2,1,1
1070,478,PERFORM2019:XFMR:529:1486:1,1,1
1071,479,PERFORM2019:XFMR:529:1487:1,1,1
1072,480,PERFORM2019:AC:530:858:1,1,1
1073,481,PERFORM2019:XFMR:530:860:1,1,1
1074,482,PERFORM2019:AC:531:532:1,1,1
1075,483,PERFORM2019:AC:531:1401:1,1,1
1076,484,PERFORM2019:AC:532:901:1,1,1
1077,485,PERFORM2019:AC:533:1419:1,1,1
1078,486,PERFORM2019:AC:534:1419:1,1,1
1079,487,PERFORM2019:AC:534:1488:1,1,1
1080,488,PERFORM2019:AC:535:541:1,1,1
1081,489,PERFORM2019:AC:535:544:1,1,1
1082,490,PERFORM2019:AC:535:544:2,1,1
1083,491,PERFORM2019:AC:535:757:1,1,1
1084,492,PERFORM2019:AC:535:757:2,1,1
1085,493,PERFORM2019:XFMR:535:1488:1,1,1
1086,494,PERFORM2019:AC:536:546:1,1,1
1087,495,PERFORM2019:AC:536:546:2,1,1
1088,496,PERFORM2019:AC:536:757:1,1,1
1089,497,PERFORM2019:AC:536:757:2,1,1
1090,498,PERFORM2019:AC:536:757:3,1,1
1091,499,PERFORM2019:AC:536:1574:1,1,1
1092,500,PERFORM2019:AC:536:1574:2,1,1
1093,501,PERFORM2019:AC:537:538:1,1,1
1094,502,PERFORM2019:AC:537:771:1,1,1
1095,503,PERFORM2019:AC:537:781:1,1,1
1096,504,PERFORM2019:AC:538:781:1,1,1
1097,505,PERFORM2019:AC:539:540:1,1,1
1098,506,PERFORM2019:AC:539:758:1,1,1
1099,507,PERFORM2019:AC:539:1488:1,1,1
1100,508,PERFORM2019:XFMR:540:541:1,1,1
1101,509,PERFORM2019:AC:542:781:1,1,1
1102,510,PERFORM2019:AC:543:781:1,1,1
1103,511,PERFORM2019:AC:544:755:1,1,1
1104,512,PERFORM2019:AC:544:755:2,1,1
1105,513,PERFORM2019:AC:545:755:1,1,1
1106,514,PERFORM2019:AC:546:1518:1,1,1
1107,515,PERFORM2019:AC:547:594:1,1,1
1108,516,PERFORM2019:AC:547:594:2,1,1
1109,517,PERFORM2019:AC:547:594:3,1,1
1110,518,PERFORM2019:AC:547:594:4,1,1
1111,519,PERFORM2019:AC:547:897:1,1,1
1112,520,PERFORM2019:AC:547:897:2,1,1
1113,521,PERFORM2019:AC:547:897:3,1,1
1114,522,PERFORM2019:AC:547:900:1,1,1
1115,523,PERFORM2019:AC:548:733:1,1,1
1116,524,PERFORM2019:AC:548:734:1,1,1
1117,525,PERFORM2019:AC:549:737:1,1,1
1118,526,PERFORM2019:AC:549:737:2,1,1
1119,527,PERFORM2019:AC:549:739:1,1,1
