source_bus,model_bus,device_key,base_kv,source_vm_pu,regional_vm_pu,delta_vm_pu,source_va_deg,regional_va_deg,source_va_aligned_deg,regional_va_aligned_deg,delta_va_deg
433,20433,PERFORM2019:BUS:433,115,1.00207953545238,1.04644652249317,0.0443669870407923,7.33943965158101,3.21716395973122,7.33943965158101,3.21716395973122,-4.12227569184978
434,20434,PERFORM2019:BUS:434,115,1.00094708636138,1.04518845552778,0.0442413691664039,8.3009729165785,3.27339833965499,8.3009729165785,3.27339833965499,-5.02757457692351
435,20435,PERFORM2019:BUS:435,115,0.997785333076113,1.04228562466272,0.0445002915866078,7.39041128115476,2.45591534336363,7.39041128115476,2.45591534336363,-4.93449593779113
436,20436,PERFORM2019:BUS:436,115,0.997742742740494,1.04224491950273,0.0445021767622394,7.38007974293206,2.44644634960905,7.38007974293206,2.44644634960905,-4.93363339332302
437,20437,PERFORM2019:BUS:437,115,0.99773505771842,1.0422375834143,0.0445025256958839,7.37818495872948,2.44470964711989,7.37818495872948,2.44470964711989,-4.93347531160958
438,20438,PERFORM2019:BUS:438,115,0.999412743395984,1.0427046259141,0.0432918825181203,6.52527206482204,2.466858494504,6.52527206482204,2.466858494504,-4.05841357031804
439,20439,PERFORM2019:BUS:439,115,1.00082470204805,1.04507374788428,0.044249045836227,8.30333409917012,3.28085729395976,8.30333409917012,3.28085729395976,-5.02247680521035
440,20440,PERFORM2019:BUS:440,115,1.00082011169164,1.04507217071722,0.0442520590255773,8.35394554060918,3.33549719557305,8.35394554060918,3.33549719557305,-5.01844834503612
441,20441,PERFORM2019:BUS:441,115,1.01631505449794,1.05882702320786,0.042511968709924,15.1452624902116,9.64820848923917,15.1452624902116,9.64820848923917,-5.49705400097247
442,20442,PERFORM2019:BUS:442,115,1.02426587309225,1.04968484244413,0.0254189693518794,24.0683454832882,20.5605677338092,24.0683454832882,20.5605677338092,-3.507777749479
443,20443,PERFORM2019:BUS:443,115,1.02426848130776,1.04968738593647,0.0254189046287183,24.0689593206316,20.5611522223294,24.0689593206316,20.5611522223294,-3.50780709830221
444,20444,PERFORM2019:BUS:444,115,1.02903293297553,1.05192539921524,0.0228924662397076,25.0095896729027,21.791588019483,25.0095896729027,21.791588019483,-3.21800165341969
445,20445,PERFORM2019:BUS:445,115,1.03622837075886,1.05612183396544,0.0198934632065864,26.4319247511315,23.5896724829007,26.4319247511315,23.5896724829007,-2.84225226823074
446,20446,PERFORM2019:BUS:446,115,1.04748177416751,1.06418104033304,0.0166992661655283,28.6875187763527,26.3451678313367,28.6875187763527,26.3451678313367,-2.34235094501599
447,20447,PERFORM2019:BUS:447,115,1.03692940339325,1.06534975561068,0.0284203522174269,23.4209252904118,21.2085117055983,23.4209252904118,21.2085117055983,-2.2124135848135
448,20448,PERFORM2019:BUS:448,115,1.02392319424501,1.05332602984144,0.02940283559643,19.2432478037446,17.2502106903469,19.2432478037446,17.2502106903469,-1.99303711339775
449,20449,PERFORM2019:BUS:449,115,1.01200922671809,1.04744820838648,0.0354389816683882,15.880073579005,14.9137321676923,15.880073579005,14.9137321676923,-0.966341411312726
450,20450,PERFORM2019:BUS:450,115,1.0037601225532,1.03981520035436,0.0360550778011657,12.9410996346299,12.1559108058297,12.9410996346299,12.1559108058297,-0.785188828800187
451,20451,PERFORM2019:BUS:451,115,1.00164419304387,1.03927404076559,0.037629847721711,-0.511248819260417,-1.50486040804854,-0.511248819260417,-1.50486040804854,-0.993611588788127
452,20452,PERFORM2019:BUS:452,115,1.00185072852394,1.03945932763227,0.0376085991083246,-0.416340679628688,-1.41651579010492,-0.416340679628688,-1.41651579010492,-1.00017511047622
453,20453,PERFORM2019:BUS:453,115,1.00116096405584,1.03896704022527,0.0378060761694308,-0.335326971028428,-1.44975665462686,-0.335326971028428,-1.44975665462686,-1.11442968359844
454,20454,PERFORM2019:BUS:454,115,1.00083491765132,1.03894515392598,0.0381102362746628,-0.0577196408495868,-1.36184387797087,-0.0577196408495868,-1.36184387797087,-1.30412423712127
455,20455,PERFORM2019:BUS:455,115,1.00601276079252,1.04250170924435,0.0364889484518343,1.55844282167495,-0.212951704948271,1.55844282167495,-0.212951704948271,-1.77139452662323
456,20456,PERFORM2019:BUS:456,115,1.00778062870906,1.04374608211407,0.035965453405016,1.39821294352307,-0.24230350224451,1.39821294352307,-0.24230350224451,-1.64051644576759
457,20457,PERFORM2019:BUS:457,115,1.01158371954253,1.04655972455324,0.0349760050107049,1.30001668096578,-0.117317664509375,1.30001668096578,-0.117317664509375,-1.41733434547515
458,20458,PERFORM2019:BUS:458,115,1.0206371321901,1.05327092754102,0.0326337953509233,1.38040444111971,0.460021815316001,1.38040444111971,0.460021815316001,-0.920382625803711
