model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar
103,PERFORM2019:GEN:150:C2,106,150,72,native_generation,C,assumed_same_zone_source_distance_aggregation,0,0,0,8.4,20.7,-14.489999,15.525
104,PERFORM2019:GEN:161:1,107,161,61,native_generation,A,assumed_same_zone_source_distance_aggregation,1,19.8732885886356,-2.3323069252765,0,20,-11,14
105,PERFORM2019:GEN:178:C1,108,178,51,native_generation,C,assumed_same_zone_source_distance_aggregation,0,0,0,44.999999,102.699995,-71.890002,77.025002
106,PERFORM2019:GEN:193:C1,109,193,20193,native_generation,D,exact_source_region,0,0,0,89.999998,285.599995,-199.919999,214.199996
107,PERFORM2019:GEN:194:1,110,194,20194,native_energy_storage,F,exact_source_region,1,19.8732952803975,-3.26463194714413,0,20,-11,14
108,PERFORM2019:GEN:199:1,111,199,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,1,7.2,-4,5
109,PERFORM2019:GEN:199:2,112,199,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,2,18.2,-10,12.7
110,PERFORM2019:GEN:212:1,113,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.6,0.8,-0.4,0.6
111,PERFORM2019:GEN:212:2,114,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.6,0.8,-0.4,0.6
112,PERFORM2019:GEN:212:3,115,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.6,0.8,-0.4,0.6
113,PERFORM2019:GEN:212:4,116,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.6,0.8,-0.4,0.6
114,PERFORM2019:GEN:212:5,117,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.6,0.8,-0.4,0.6
115,PERFORM2019:GEN:212:6,118,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.6,0.8,-0.4,0.6
116,PERFORM2019:GEN:212:7,119,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.6,0.8,-0.4,0.6
117,PERFORM2019:GEN:212:8,120,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.6,0.8,-0.4,0.6
118,PERFORM2019:GEN:212:9,121,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.8,1.6,-0.9,1.1
119,PERFORM2019:GEN:212:10,122,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.8,1.6,-0.9,1.1
120,PERFORM2019:GEN:212:11,123,212,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.8,1.6,-0.9,1.1
121,PERFORM2019:GEN:234:1,124,234,57,native_generation,A,assumed_same_zone_source_distance_aggregation,0,0,0,0.5,1.1,-0.6,0.8
122,PERFORM2019:GEN:234:C1,125,234,57,native_generation,A,assumed_same_zone_source_distance_aggregation,0,0,0,48.800001,66.2,-46.340001,49.649999
123,PERFORM2019:GEN:250:1,126,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,1,0.381744543418095,0.0481786495243647,0.1,0.4,-0.2,0.3
124,PERFORM2019:GEN:250:2,127,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,0.4,3,-1.7,2.1
125,PERFORM2019:GEN:250:3,128,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,4,12.5,-6.9,8.8
126,PERFORM2019:GEN:250:4,129,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,1,12.5469041324814,-0.358521456439957,0,12.800001,-7,9
127,PERFORM2019:GEN:250:5,130,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,1,12.5469041324814,-0.358521456439957,0,12.800001,-7,9
128,PERFORM2019:GEN:250:6,131,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,4,15.000001,-8.3,10.5
129,PERFORM2019:GEN:250:7,132,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,1,17.6440645147068,-1.24123730193317,0,18.000001,-9.9,12.6
130,PERFORM2019:GEN:250:8,133,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,5,25.600001,-14.1,17.900001
131,PERFORM2019:GEN:250:9,134,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,5,25.600001,-14.1,17.900001
132,PERFORM2019:GEN:250:10,135,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,5,25.600001,-14.1,17.900001
133,PERFORM2019:GEN:250:11,136,250,53,native_generation,B,assumed_same_zone_source_distance_aggregation,0,0,0,5,25.600001,-14.1,17.900001
134,PERFORM2019:GEN:284:1,137,284,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,24.8416285354274,-1.75944086165991,3,25,-13.8,17.5
