weather_scenario,branch_key,subconductor_ampacity_amp,series_ampacity_at_nominal_kv_mva,assumed_equipment_limit_mva,nominal_display_limit_mva,nominal_MVA_is_not_the_enforced_series_constraint
windy_mild,NY2025:CEEC:14,1402.78108195829,1676.48479303526,2000,1676.48479303526,1
windy_mild,NY2025:CEEC:371,1402.78108195829,1676.48479303526,2000,1676.48479303526,1
windy_mild,NY2025:NYES:1,1402.78108195829,1676.48479303526,1800,1676.48479303526,1
windy_mild,NY2025:NYES:2,1402.78108195829,1676.48479303526,1800,1676.48479303526,1
windy_mild,NY2025:SMART_PATH:1,1288.16416669107,513.16813059567,575,513.16813059567,1
windy_mild,NY2025:SMART_PATH:2,1288.16416669107,513.16813059567,575,513.16813059567,1
windy_mild,NY2025:SMART_PATH:3,1288.16416669107,513.16813059567,453,453,1
windy_mild,NY2025:SMART_PATH:4,1288.16416669107,513.16813059567,453,453,1
hot_low_wind,PERFORM2019:AC:651:858:1,527.494126393501,630.416173049314,1216,630.416173049314,1
hot_low_wind,PERFORM2019:AC:651:858:2,527.494126393501,630.416173049314,1216,630.416173049314,1
hot_low_wind,PERFORM2019:AC:651:902:1,527.494126393501,630.416173049314,1216,630.416173049314,1
hot_low_wind,PERFORM2019:AC:651:902:2,527.494126393501,630.416173049314,1216,630.416173049314,1
hot_low_wind,PERFORM2019:AC:858:902:1,527.494126393501,630.416173049314,1216,630.416173049314,1
hot_low_wind,PERFORM2019:AC:858:902:2,527.494126393501,630.416173049314,1216,630.416173049314,1
hot_low_wind,PERFORM2019:AC:897:902:1,527.494126393501,630.416173049314,1216,630.416173049314,1
hot_low_wind,PERFORM2019:AC:897:902:2,527.494126393501,630.416173049314,1216,630.416173049314,1
hot_low_wind,PERFORM2019:AC:774:1519:1,527.494126393501,630.416173049314,1216,630.416173049314,1
hot_low_wind,PERFORM2019:AC:774:900:1,527.494126393501,630.416173049314,1725,630.416173049314,1
