interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,scenario_id,vintage,dataset_split,campaign_role,timestamp,timestamp_utc,scale_factor_gamma,actual_observed_flow_mw,model_proxy_in_observation_scale_mw,observation_scale_residual_mw,observation_scale_is_uniform_shape_rescaling,near_zero_target,normalized_absolute_error_with_100mw_floor,electrically_qualified,generation_dispatch_observed,generator_dispatch_validation_passed
UPNY_ConEd,823.360298418146,1226.26825865504,-402.90796023689,402.90796023689,0,0,S2_2019_WINTER_PEAK_PUBLIC,2019,training,historical_validation,2019-01-21 18:00,2019-01-21T23:00:00Z,0.440892759455022,2781.33,1867.48428220024,-913.845717799756,1,0,0.328564290393357,1,0,0
Dunwoodie_South,731.475000147239,1171.71218860007,-440.237188452833,440.237188452833,0,0,S2_2019_WINTER_PEAK_PUBLIC,2019,training,historical_validation,2019-01-21 18:00,2019-01-21T23:00:00Z,0.440892759455022,2657.59,1659.07691714284,-998.513082857157,1,0,0.375721267335126,1,0,0
Dysinger_East,620.836515045335,882.524160943875,-261.68764589854,261.68764589854,0,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,training,historical_validation,2019-04-21 04:00,2019-04-21T08:00:00Z,0.912235676941871,967.43,680.565922532862,-286.864077467138,1,0,0.296521792240408,1,0,0
West_Central,58.115115945949,733.300648909723,-675.185532963774,675.185532963774,0,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,training,historical_validation,2019-04-21 04:00,2019-04-21T08:00:00Z,0.912235676941871,803.85,63.706252029926,-740.143747970074,1,0,0.920748582409746,1,0,0
Moses_South,459.173689549061,761.406630116302,-302.232940567242,302.232940567242,0,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,training,historical_validation,2019-04-21 04:00,2019-04-21T08:00:00Z,0.912235676941871,834.66,503.349848241377,-331.310151758623,1,0,0.39694025322721,1,0,0
Central_East,617.186586867304,1724.74574968046,-1107.55916281315,1107.55916281315,0,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,training,historical_validation,2019-04-21 04:00,2019-04-21T08:00:00Z,0.912235676941871,1890.68,676.564842252526,-1214.11515774747,1,0,0.642157931404296,1,0,0
Total_East_proxy,783.790728233248,3239.14819697166,-2455.35746873841,2455.35746873841,0,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,training,historical_validation,2019-04-21 04:00,2019-04-21T08:00:00Z,0.912235676941871,3550.78,859.197626276561,-2691.58237372344,1,0,0.758025665832138,1,0,0
UPNY_ConEd,1027.92649646422,1214.8516180538,-186.925121589577,186.925121589577,0,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,training,historical_validation,2019-04-21 04:00,2019-04-21T08:00:00Z,0.912235676941871,1331.73,1126.82119593282,-204.908804067184,1,0,0.153866627670161,1,0,0
Dunwoodie_South,1097.18230975918,1835.66448563982,-738.482175880637,738.482175880637,0,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,training,historical_validation,2019-04-21 04:00,2019-04-21T08:00:00Z,0.912235676941871,2012.27,1202.73996894894,-809.530031051058,1,0,0.402296923897419,1,0,0
Dysinger_East,135.695341250352,330.959380690489,-195.264039440137,195.264039440137,0,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,training,historical_validation,2019-07-17 16:00,2019-07-17T20:00:00Z,0.371839404860896,890.06,364.929965669225,-525.130034330775,1,0,0.589993971564586,1,0,0
