source_bus,model_bus,zone,mapping_kind,allocation_anchor_source_bus,source_path_impedance_distance_pu,source_base_kv,is_external_boundary_proxy
1371,61,A,assumed_same_zone_source_distance_aggregation,1573,0.00971380190813331,115,0
1372,54,A,assumed_same_zone_source_distance_aggregation,1428,0.0545358625796539,115,0
1373,54,A,assumed_same_zone_source_distance_aggregation,1428,0.0545261285010151,115,0
1374,57,A,assumed_same_zone_source_distance_aggregation,1566,0.0648147833480703,115,0
1375,57,A,assumed_same_zone_source_distance_aggregation,37,0.0682200923216374,115,0
1376,57,A,assumed_same_zone_source_distance_aggregation,37,0.0676452010275652,115,0
1377,57,A,assumed_same_zone_source_distance_aggregation,1566,0.0642496285020325,115,0
1378,57,A,assumed_same_zone_source_distance_aggregation,1566,0.0198981910957883,115,0
1379,57,A,assumed_same_zone_source_distance_aggregation,37,0.0908759558760276,115,0
1380,57,A,assumed_same_zone_source_distance_aggregation,37,0.0909584179885399,115,0
1381,53,B,assumed_same_zone_source_distance_aggregation,250,0.176642065125162,115,0
1382,53,B,assumed_same_zone_source_distance_aggregation,250,0.17650864848452,115,0
1383,56,A,assumed_same_zone_source_distance_aggregation,138,0.0213129466294074,230,0
1384,50,C,assumed_same_zone_source_distance_aggregation,1237,0.0743270043618877,115,0
1385,50,C,assumed_same_zone_source_distance_aggregation,1237,0.0739559323078097,115,0
1386,50,C,assumed_same_zone_source_distance_aggregation,1237,0.141293079534511,115,0
1387,57,A,assumed_same_zone_source_distance_aggregation,37,0.253636723036605,115,0
1388,57,A,assumed_same_zone_source_distance_aggregation,37,0.253915649550225,115,0
1389,57,A,assumed_same_zone_source_distance_aggregation,37,0.253420852705156,115,0
1390,57,A,assumed_same_zone_source_distance_aggregation,37,0.172401825842067,115,0
1391,61,A,assumed_same_zone_source_distance_aggregation,38,0.0541573876876296,115,0
1392,37,F,assumed_same_zone_source_distance_aggregation,706,0.0338201291249865,115,0
1393,37,F,assumed_same_zone_source_distance_aggregation,706,0.0284065926089891,115,0
1394,45,E,assumed_same_zone_source_distance_aggregation,1548,0.111610650173825,115,0
1395,45,E,assumed_same_zone_source_distance_aggregation,1548,0.111013992434254,115,0
1396,45,E,assumed_same_zone_source_distance_aggregation,1548,0.106919850842278,115,0
1397,51,C,assumed_same_zone_source_distance_aggregation,1553,0.0815623969665863,115,0
1398,51,C,assumed_same_zone_source_distance_aggregation,1553,0.082345765386222,115,0
1399,51,C,assumed_same_zone_source_distance_aggregation,1553,0.0793916367594832,115,0
1400,51,C,assumed_same_zone_source_distance_aggregation,1553,0.0803084516075545,115,0
1401,21401,G,exact_source_region,1401,0,115,0
1402,53,B,assumed_same_zone_source_distance_aggregation,250,0.0316693862052424,115,0
1403,53,B,assumed_same_zone_source_distance_aggregation,250,0.0553027209863391,115,0
1404,53,B,assumed_same_zone_source_distance_aggregation,250,0.0553536706955969,115,0
1405,53,B,assumed_same_zone_source_distance_aggregation,250,0.0553851807062072,115,0
1406,53,B,assumed_same_zone_source_distance_aggregation,250,0.0576893504087673,115,0
1407,53,B,assumed_same_zone_source_distance_aggregation,250,0.0577500220888613,115,0
1408,53,B,assumed_same_zone_source_distance_aggregation,250,0.0292633105622087,115,0
1409,53,B,assumed_same_zone_source_distance_aggregation,250,0.0264201916534984,115,0
1410,53,B,assumed_same_zone_source_distance_aggregation,250,0.0245065302414404,115,0
1411,37,F,assumed_same_zone_source_distance_aggregation,474,0.0860517432095033,115,0
1412,37,F,assumed_same_zone_source_distance_aggregation,474,0.0860711832373629,115,0
1413,61,A,assumed_same_zone_source_distance_aggregation,1296,0.0643442492455439,345,1
1414,68,C,assumed_same_zone_source_distance_aggregation,575,0.0255325811445516,115,0
1415,51,C,assumed_same_zone_source_distance_aggregation,1553,0.0825810748714925,115,0
1416,56,A,assumed_same_zone_source_distance_aggregation,1324,0.00801368811717443,115,0
1417,57,A,assumed_same_zone_source_distance_aggregation,37,0.283338536654219,115,0
1418,41,F,assumed_same_zone_source_distance_aggregation,508,0.0406001569671257,115,0
1419,21419,G,exact_source_region,1419,0,69,0
1420,41,F,assumed_same_zone_source_distance_aggregation,508,0.0425041002435916,115,0
1421,53,B,assumed_same_zone_source_distance_aggregation,250,0.0518464729286177,115,0
1422,53,B,assumed_same_zone_source_distance_aggregation,250,0.0516403176473368,115,0
1423,21423,G,exact_source_region,1423,0,69,0
1424,53,B,assumed_same_zone_source_distance_aggregation,250,0.0221101809128736,115,0
1425,56,A,assumed_same_zone_source_distance_aggregation,69,0.0204123899805084,115,0
1426,56,A,assumed_same_zone_source_distance_aggregation,284,0.0774293856321959,115,0
1427,54,A,assumed_same_zone_source_distance_aggregation,1427,0,345,0
1428,54,A,assumed_same_zone_source_distance_aggregation,1428,0,115,0
1429,54,A,assumed_same_zone_source_distance_aggregation,1428,0.0076449266231104,115,0
1430,56,A,assumed_same_zone_source_distance_aggregation,284,0.0169149179405769,115,0
1431,56,A,assumed_same_zone_source_distance_aggregation,284,0.0167717877596656,115,0
1432,56,A,assumed_same_zone_source_distance_aggregation,284,0.0110720333789926,115,0
1433,57,A,assumed_same_zone_source_distance_aggregation,37,0.134582118076262,115,0
1434,57,A,assumed_same_zone_source_distance_aggregation,37,0.134642945701565,115,0
1435,57,A,assumed_same_zone_source_distance_aggregation,1566,0.00135823414770797,115,0
1436,57,A,assumed_same_zone_source_distance_aggregation,37,0.0623067930251734,115,0
1437,57,A,assumed_same_zone_source_distance_aggregation,1566,0.0697844636395953,115,0
1438,61,A,assumed_same_zone_source_distance_aggregation,1330,0.00980596913751797,115,0
1439,53,B,assumed_same_zone_source_distance_aggregation,128,0.161113934944983,115,0
1440,51,C,assumed_same_zone_source_distance_aggregation,1553,0.125649387857262,115,0
1441,42,F,assumed_same_zone_source_distance_aggregation,127,0.0477687952538056,115,0
1442,37,F,assumed_same_zone_source_distance_aggregation,194,0.0122435452382061,115,0
1443,37,F,assumed_same_zone_source_distance_aggregation,706,0.0300122077559032,115,0
1444,37,F,assumed_same_zone_source_distance_aggregation,685,0.00448465160296762,115,0
1445,56,A,assumed_same_zone_source_distance_aggregation,1445,0,115,0
1446,57,A,assumed_same_zone_source_distance_aggregation,1566,0.0794449576464168,115,0
1447,57,A,assumed_same_zone_source_distance_aggregation,37,0.0828502666199839,115,0
1448,57,A,assumed_same_zone_source_distance_aggregation,37,0.179241745012757,115,0
1449,57,A,assumed_same_zone_source_distance_aggregation,37,0.0317706697294365,115,0
1450,57,A,assumed_same_zone_source_distance_aggregation,37,0.0315863107445885,115,0
1451,56,A,assumed_same_zone_source_distance_aggregation,284,0.0170191740972026,115,0
1452,54,A,assumed_same_zone_source_distance_aggregation,1428,0.0200607818820182,115,0
1453,44,E,assumed_same_zone_source_distance_aggregation,1287,0.145822188228769,115,0
1454,44,E,assumed_same_zone_source_distance_aggregation,1287,0.145945881397538,115,0
