scenario_id,interface_name,model_flow_mw,previous_operator_model_flow_mw,campaign_role,vintage,electrical_baseline_qualified,internal_interface_targets_used,actual_flow_mw,target_flow_mw,target_coverage_qualified,backward_hold_mean_mw,linear_mean_mw,duplicate_lower_hour_mean_mw,duplicate_upper_hour_mean_mw,scale_factor_gamma,residual_mw,absolute_residual_mw,previous_operator_absolute_residual_mw,normalized_absolute_error_floor100,observation_scale_residual_mw,used_in_prior,used_in_optimizer,exact_public_operator,methodology_freeze_sha256
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Moses_South,,,revisited_diagnostic,2019,0,0,,,False,,,,,0.358662225381536,,,,,,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Central_East,,,revisited_diagnostic,2019,0,0,,,False,,,,,0.358662225381536,,,,,,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Total_East_proxy,,,revisited_diagnostic,2019,0,0,,,False,,,,,0.358662225381536,,,,,,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,UPNY_ConEd,,,revisited_diagnostic,2019,0,0,,,False,,,,,0.358662225381536,,,,,,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Dunwoodie_South,,,revisited_diagnostic,2019,0,0,,,False,,,,,0.358662225381536,,,,,,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,Dysinger_East,455.316311730973,371.803198793709,revisited_diagnostic,2019,1,0,1020.0825,365.8650595227607,True,1016.3933333333332,1018.2379166666668,1020.0825,1020.0825,0.358662225381536,89.45125220821228,89.45125220821228,5.938139270948284,0.24449247032469756,249.4024903599933,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,West_Central,333.864381167533,250.351268230269,revisited_diagnostic,2019,1,0,623.6983333333334,223.6970322000884,True,622.9866666666667,623.3424999999999,623.6983333333334,623.6983333333334,0.358662225381536,110.16734896744461,110.16734896744461,26.654236030180613,0.4924846247799307,307.1618396675348,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,Moses_South,219.333142182769,219.333142182769,revisited_diagnostic,2019,1,0,663.5233333333333,237.98075532590804,True,651.8183333333334,657.6708333333333,663.5233333333333,663.5233333333333,0.358662225381536,-18.64761314313904,18.64761314313904,18.64761314313904,0.07835765172524833,-51.992130264909186,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,Central_East,813.349802411812,813.349802411812,revisited_diagnostic,2019,1,0,1535.405,550.6917741619374,True,1535.0325,1535.21875,1535.405,1535.405,0.358662225381536,262.65802824987463,262.65802824987463,262.65802824987463,0.4769601446282671,732.3269908629644,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,Total_East_proxy,1112.9490860486,1415.91116639794,revisited_diagnostic,2019,1,0,2297.108333333333,823.8859867758046,True,2305.1466666666665,2301.1275,2297.108333333333,2297.108333333333,0.358662225381536,289.0630992727955,289.0630992727955,592.0251796221354,0.35085327813865974,805.9479889896331,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,UPNY_ConEd,1300.39673465174,1300.39673465174,revisited_diagnostic,2019,1,0,2381.2150000000006,854.0518710118945,True,2384.36,2382.7875,2381.2150000000006,2381.2150000000006,0.358662225381536,446.34486363984547,446.34486363984547,446.34486363984547,0.5226203217739092,1244.4713495128594,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S6_2019_LOW_TOTAL_EAST_PUBLIC,Dunwoodie_South,897.646424602883,897.646424602883,revisited_diagnostic,2019,1,0,2759.204166666667,989.6223066986734,True,2763.1316666666667,2761.1679166666668,2759.204166666667,2759.204166666667,0.358662225381536,-91.97588209579033,91.97588209579033,91.97588209579033,0.09294038894759447,-256.44150843582327,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,Dysinger_East,-63.3333240812348,-58.2950226102901,revisited_diagnostic,2025,1,0,392.9025,139.77846695239117,True,400.7658333333333,396.83416666666665,392.9025,392.9025,0.355758660106238,-203.11179103362596,203.11179103362596,198.07348956268126,1.4530978587911274,-570.9257814636809,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,West_Central,-456.49027621044,-451.451974739496,revisited_diagnostic,2025,1,0,-663.7683333333333,-236.14133288761744,True,-660.0616666666666,-661.915,-663.7683333333333,-663.7683333333333,0.355758660106238,-220.34894332282258,220.34894332282258,215.31064185187856,0.9331231454837656,-619.3775950725167,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,Moses_South,818.261323552102,818.261323552102,revisited_diagnostic,2025,1,0,2062.911666666667,733.8986904508597,True,2071.3483333333334,2067.13,2062.911666666667,2062.911666666667,0.355758660106238,84.3626331012423,84.3626331012423,84.3626331012423,0.11495133347276498,237.13444691985742,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,Central_East,869.19759072439,869.19759072439,revisited_diagnostic,2025,1,0,2629.369166666667,935.420851657989,True,2628.5191666666665,2628.9441666666667,2629.369166666667,2629.369166666667,0.355758660106238,-66.22326093359902,66.22326093359902,66.22326093359902,0.07079515152588424,-186.14658857165466,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,Total_East_proxy,1051.51675496631,1601.24663488289,revisited_diagnostic,2025,1,0,3104.2075,1104.3487008917348,True,3099.8875,3102.0475,3104.2075,3104.2075,0.355758660106238,-52.83194592542486,52.83194592542486,496.89793399115524,0.04783991313863488,-148.50501716429892,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,UPNY_ConEd,1756.36756757375,1756.36756757375,revisited_diagnostic,2025,1,0,5125.756666666667,1823.5323237639504,True,5091.5375,5108.647083333333,5125.756666666667,5125.756666666667,0.355758660106238,-67.16475619020048,67.16475619020048,67.16475619020048,0.036832226835204,-188.7930322487258,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S1_2025_SUMMER_PEAK_PUBLIC,Dunwoodie_South,1095.95198959305,1095.95198959305,revisited_diagnostic,2025,1,0,2746.0975,976.94796712109,True,2733.6025,2739.85,2746.0975,2746.0975,0.355758660106238,119.00402247196007,119.00402247196007,119.00402247196007,0.12181203756700161,334.5077318326492,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2025_WINTER_PEAK_PUBLIC,Dysinger_East,820.24849296937,707.208265063489,revisited_diagnostic,2025,1,0,2132.9283333333333,758.8077259692981,True,2137.5416666666665,2135.235,2132.9283333333333,2132.9283333333333,0.355758660106238,61.4407670000719,61.4407670000719,51.59946090580911,0.08097013893946282,172.70350349791687,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2025_WINTER_PEAK_PUBLIC,West_Central,506.47343523012,393.433207324238,revisited_diagnostic,2025,1,0,1270.335,451.9326774860579,True,1278.8583333333331,1274.5966666666666,1270.335,1270.335,0.355758660106238,54.54075774406209,54.54075774406209,58.499470161819886,0.12068336825620375,153.3083066137446,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S2_2025_WINTER_PEAK_PUBLIC,Moses_South,124.286264406919,124.286264406919,revisited_diagnostic,2025,1,0,-8.555833333333334,-3.043811802758955,True,1.0224999999999995,-3.766666666666665,-8.555833333333334,-8.555833333333334,0.355758660106238,127.33007620967796,127.33007620967796,127.33007620967796,1.2733007620967796,357.91138906261386,False,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
