hour_index,timestamp,max_internal_branch_error_mw,max_interface_error_mw,max_angle_error_deg,max_native_solved_pg_error_mw,max_nodal_residual_mw,passed
4175,2019-06-23T22:00:00,8.412825991399586e-12,1.3415046851150692e-11,3.552713678800501e-13,9.890754881780595e-12,8.697043085703626e-12,True
4176,2019-06-23T23:00:00,7.958078640513122e-12,9.777068044058979e-12,2.7000623958883807e-13,5.343281372915953e-12,1.1766587704187259e-11,True
4177,2019-06-24T00:00:00,7.389644451905042e-12,8.86757334228605e-12,3.268496584496461e-13,1.0231815394945443e-11,1.0999201549566351e-11,True
4178,2019-06-24T01:00:00,5.9117155615240335e-12,8.86757334228605e-12,3.126388037344441e-13,7.844391802791506e-12,8.185452315956354e-12,True
4179,2019-06-24T02:00:00,4.774847184307873e-12,5.4569682106375694e-12,1.9895196601282805e-13,3.069544618483633e-12,1.0032863428932615e-11,True
4180,2019-06-24T03:00:00,4.888534022029489e-12,5.9117155615240335e-12,1.7053025658242404e-13,4.376943252282217e-12,1.071498445526231e-11,True
4181,2019-06-24T04:00:00,8.753886504564434e-12,1.0913936421275139e-11,3.979039320256561e-13,8.86757334228605e-12,1.6086687537608668e-11,True
4182,2019-06-24T05:00:00,5.115907697472721e-12,9.094947017729282e-12,2.5579538487363607e-13,7.503331289626658e-12,8.01492205937393e-12,True
4183,2019-06-24T06:00:00,8.86757334228605e-12,1.4097167877480388e-11,4.405364961712621e-13,1.1823431123048067e-11,1.3727685654885136e-11,True
4184,2019-06-24T07:00:00,8.071765478234738e-12,1.2505552149377763e-11,3.694822225952521e-13,9.777068044058979e-12,1.0459189070388675e-11,True
4185,2019-06-24T08:00:00,7.958078640513122e-12,6.821210263296962e-12,2.4158453015843406e-13,6.366462912410498e-12,7.73070496506989e-12,True
4186,2019-06-24T09:00:00,8.057554623519536e-12,1.5688783605583012e-11,4.121147867408581e-13,1.000444171950221e-11,7.844391802791506e-12,True
4187,2019-06-24T10:00:00,5.7980287238024175e-12,6.366462912410498e-12,2.1316282072803006e-13,5.9117155615240335e-12,7.815970093361102e-12,True
4188,2019-06-24T11:00:00,7.389644451905042e-12,1.2050804798491299e-11,3.268496584496461e-13,9.094947017729282e-12,7.645439836778678e-12,True
4189,2019-06-24T12:00:00,7.702283255639486e-12,9.549694368615746e-12,3.552713678800501e-13,1.2050804798491299e-11,1.3102408047416247e-11,True
4190,2019-06-24T13:00:00,6.934897101018578e-12,1.057287590811029e-11,2.5579538487363607e-13,5.4569682106375694e-12,7.190692485892214e-12,True
4191,2019-06-24T14:00:00,7.44648787076585e-12,8.412825991399586e-12,2.5579538487363607e-13,4.092726157978177e-12,1.1169731806148775e-11,True
4192,2019-06-24T15:00:00,6.423306331271306e-12,5.002220859751105e-12,2.1316282072803006e-13,6.139089236967266e-12,1.2732925824820995e-11,True
4193,2019-06-24T16:00:00,6.480149750132114e-12,1.057287590811029e-11,2.4158453015843406e-13,6.59383658785373e-12,9.123368727159686e-12,True
4194,2019-06-24T17:00:00,6.934897101018578e-12,1.2732925824820995e-11,2.7000623958883807e-13,6.366462912410498e-12,7.062794793455396e-12,True
4195,2019-06-24T18:00:00,7.73070496506989e-12,1.3301360013429075e-11,2.8421709430404007e-13,6.139089236967266e-12,5.357492227631155e-12,True
4196,2019-06-24T19:00:00,6.821210263296962e-12,8.810729923425242e-12,2.5579538487363607e-13,5.4569682106375694e-12,7.87281351222191e-12,True
4197,2019-06-24T20:00:00,7.16227077646181e-12,9.180212146020494e-12,2.984279490192421e-13,5.6843418860808015e-12,7.062794793455396e-12,True
4198,2019-06-24T21:00:00,5.5138116294983774e-12,3.979039320256561e-12,1.4210854715202004e-13,2.1600499167107046e-12,6.792788553866558e-12,True
4199,2019-06-24T22:00:00,6.139089236967266e-12,9.208633855450898e-12,2.984279490192421e-13,7.16227077646181e-12,7.034373084024992e-12,True
4200,2019-06-24T23:00:00,6.821210263296962e-12,1.000444171950221e-11,2.984279490192421e-13,5.229594535194337e-12,1.021760454023024e-11,True
4201,2019-06-25T00:00:00,7.560174708487466e-12,8.981260180007666e-12,2.984279490192421e-13,7.73070496506989e-12,6.764366844436154e-12,True
4202,2019-06-25T01:00:00,5.172751116333529e-12,6.821210263296962e-12,2.2737367544323206e-13,6.480149750132114e-12,3.609557097661309e-12,True
4203,2019-06-25T02:00:00,6.252776074688882e-12,8.185452315956354e-12,2.8421709430404007e-13,7.275957614183426e-12,9.72022462519817e-12,True
4204,2019-06-25T03:00:00,7.389644451905042e-12,5.6843418860808015e-12,2.1316282072803006e-13,6.366462912410498e-12,8.79651906871004e-12,True
4205,2019-06-25T04:00:00,6.139089236967266e-12,7.275957614183426e-12,2.7000623958883807e-13,6.252776074688882e-12,8.768097359279636e-12,True
4206,2019-06-25T05:00:00,6.934897101018578e-12,8.185452315956354e-12,3.268496584496461e-13,1.0231815394945443e-11,7.30437932361383e-12,True
4207,2019-06-25T06:00:00,7.389644451905042e-12,9.549694368615746e-12,2.2737367544323206e-13,7.73070496506989e-12,7.887024366937112e-12,True
4208,2019-06-25T07:00:00,9.15179043659009e-12,1.318767317570746e-11,3.836930773104541e-13,1.0231815394945443e-11,8.15703060652595e-12,True
4209,2019-06-25T08:00:00,7.73070496506989e-12,1.3642420526593924e-11,4.405364961712621e-13,1.7280399333685637e-11,9.521272659185342e-12,True
4210,2019-06-25T09:00:00,6.30961949354969e-12,8.185452315956354e-12,2.984279490192421e-13,1.0686562745831907e-11,8.412825991399586e-12,True
4211,2019-06-25T10:00:00,6.480149750132114e-12,7.44648787076585e-12,1.5631940186722204e-13,6.821210263296962e-13,1.0999201549566351e-11,True
4212,2019-06-25T11:00:00,7.107203714440402e-12,1.1596057447604835e-11,2.4158453015843406e-13,2.5011104298755527e-12,1.0032863428932615e-11,True
4213,2019-06-25T12:00:00,6.991740519879386e-12,1.0913936421275139e-11,3.410605131648481e-13,9.777068044058979e-12,5.8975047068088315e-12,True
4214,2019-06-25T13:00:00,5.7411853049416095e-12,7.048583938740194e-12,1.9895196601282805e-13,3.183231456205249e-12,5.6132876125047915e-12,True
4215,2019-06-25T14:00:00,6.764366844436154e-12,8.640199666842818e-12,2.8421709430404007e-13,7.73070496506989e-12,1.0118128557223827e-11,True
4216,2019-06-25T15:00:00,6.934897101018578e-12,8.952838470577262e-12,2.5579538487363607e-13,6.366462912410498e-12,9.535483513900544e-12,True
4217,2019-06-25T16:00:00,6.536993168992922e-12,1.0459189070388675e-11,3.126388037344441e-13,9.777068044058979e-12,5.8406612879480235e-12,True
4218,2019-06-25T17:00:00,6.0254023992456496e-12,8.640199666842818e-12,2.5579538487363607e-13,5.229594535194337e-12,1.1141310096718371e-11,True
4219,2019-06-25T18:00:00,5.9827698351000436e-12,9.777068044058979e-12,3.126388037344441e-13,7.048583938740194e-12,8.071765478234738e-12,True
4220,2019-06-25T19:00:00,7.844391802791506e-12,1.000444171950221e-11,3.268496584496461e-13,1.0686562745831907e-11,1.1112888387287967e-11,True
4221,2019-06-25T20:00:00,7.958078640513122e-12,1.2505552149377763e-11,2.984279490192421e-13,1.1027623258996755e-11,9.706013770482969e-12,True
4222,2019-06-25T21:00:00,6.0822458181064576e-12,7.275957614183426e-12,2.984279490192421e-13,8.526512829121202e-12,1.1112888387287967e-11,True
4223,2019-06-25T22:00:00,8.029132914089132e-12,1.1709744285326451e-11,3.410605131648481e-13,7.503331289626658e-12,9.066525308298878e-12,True
4224,2019-06-25T23:00:00,7.958078640513122e-12,1.2164491636212915e-11,2.8421709430404007e-13,6.0254023992456496e-12,4.092726157978177e-12,True
4225,2019-06-26T00:00:00,5.343281372915953e-12,3.524291969370097e-12,1.5631940186722204e-13,3.524291969370097e-12,1.1709744285326451e-11,True
4226,2019-06-26T01:00:00,5.4001247917767614e-12,7.275957614183426e-12,1.7053025658242404e-13,3.183231456205249e-12,9.265477274311706e-12,True
4227,2019-06-26T02:00:00,6.0254023992456496e-12,9.094947017729282e-12,3.126388037344441e-13,7.389644451905042e-12,9.976020010071807e-12,True
4228,2019-06-26T03:00:00,5.9117155615240335e-12,9.549694368615746e-12,2.8421709430404007e-13,8.29913915367797e-12,8.483880264975596e-12,True
4229,2019-06-26T04:00:00,6.764366844436154e-12,7.958078640513122e-12,2.5579538487363607e-13,5.002220859751105e-12,1.1652900866465643e-11,True
4230,2019-06-26T05:00:00,8.071765478234738e-12,1.2050804798491299e-11,2.7000623958883807e-13,8.071765478234738e-12,7.077005648170598e-12,True
4231,2019-06-26T06:00:00,7.716494110354688e-12,9.890754881780595e-12,2.7000623958883807e-13,8.185452315956354e-12,1.0274447959091049e-11,True
4232,2019-06-26T07:00:00,7.73070496506989e-12,1.1141310096718371e-11,3.268496584496461e-13,9.094947017729282e-12,9.066525308298878e-12,True
4233,2019-06-26T08:00:00,6.252776074688882e-12,7.844391802791506e-12,1.9895196601282805e-13,2.7284841053187847e-12,5.5848659030743875e-12,True
4234,2019-06-26T09:00:00,7.787548383930698e-12,1.000444171950221e-11,2.8421709430404007e-13,5.229594535194337e-12,8.924416761146858e-12,True
4235,2019-06-26T10:00:00,8.469669410260394e-12,8.29913915367797e-12,1.9895196601282805e-13,3.865352482534945e-12,1.084998757505673e-11,True
4236,2019-06-26T11:00:00,7.219114195322618e-12,1.1596057447604835e-11,2.984279490192421e-13,8.412825991399586e-12,6.387779194483301e-12,True
4237,2019-06-26T12:00:00,5.6843418860808015e-12,6.792788553866558e-12,2.4158453015843406e-13,6.59383658785373e-12,8.206768598029157e-12,True
4238,2019-06-26T13:00:00,7.275957614183426e-12,7.503331289626658e-12,1.9895196601282805e-13,3.865352482534945e-12,8.526512829121202e-12,True
4239,2019-06-26T14:00:00,6.650680006714538e-12,6.59383658785373e-12,1.9895196601282805e-13,5.6843418860808015e-12,8.533618256478803e-12,True
4240,2019-06-26T15:00:00,6.764366844436154e-12,1.1141310096718371e-11,2.4158453015843406e-13,1.1368683772161603e-12,7.311484750971431e-12,True
4241,2019-06-26T16:00:00,7.901235221652314e-12,1.0345502232667059e-11,2.2737367544323206e-13,9.094947017729282e-13,8.64730509420042e-12,True
4242,2019-06-26T17:00:00,7.58859641791787e-12,1.1823431123048067e-11,3.126388037344441e-13,4.092726157978177e-12,1.0061285138363019e-11,True
4243,2019-06-26T18:00:00,6.991740519879386e-12,8.981260180007666e-12,3.410605131648481e-13,1.0913936421275139e-11,7.929656931082718e-12,True
4244,2019-06-26T19:00:00,6.252776074688882e-12,5.5706550483591855e-12,1.7053025658242404e-13,3.751665644813329e-12,1.0700773600547109e-11,True
4245,2019-06-26T20:00:00,6.139089236967266e-12,6.59383658785373e-12,2.7000623958883807e-13,5.5706550483591855e-12,7.901235221652314e-12,True
4246,2019-06-26T21:00:00,6.707523425575346e-12,9.208633855450898e-12,2.8421709430404007e-13,5.9117155615240335e-12,9.379164112033322e-12,True
4247,2019-06-26T22:00:00,6.0822458181064576e-12,8.185452315956354e-12,2.1316282072803006e-13,5.4569682106375694e-12,7.005951374594588e-12,True
4248,2019-06-26T23:00:00,5.4996007747831754e-12,9.094947017729282e-12,3.410605131648481e-13,9.663381206337363e-12,5.9117155615240335e-12,True
4249,2019-06-27T00:00:00,5.5138116294983774e-12,8.412825991399586e-12,1.8474111129762605e-13,3.524291969370097e-12,6.529887741635321e-12,True
4250,2019-06-27T01:00:00,5.5138116294983774e-12,8.86757334228605e-12,2.1316282072803006e-13,4.433786671143025e-12,7.275957614183426e-12,True
4251,2019-06-27T02:00:00,6.30961949354969e-12,7.73070496506989e-12,2.4158453015843406e-13,4.888534022029489e-12,4.988010005035903e-12,True
4252,2019-06-27T03:00:00,7.219114195322618e-12,7.048583938740194e-12,2.2737367544323206e-13,4.320099833421409e-12,8.86757334228605e-12,True
4253,2019-06-27T04:00:00,7.332801033044234e-12,5.8548721426632255e-12,2.2737367544323206e-13,5.229594535194337e-12,7.602807272633072e-12,True
4254,2019-06-27T05:00:00,7.503331289626658e-12,5.4569682106375694e-12,2.1316282072803006e-13,6.0254023992456496e-12,1.0388134796812665e-11,True
4255,2019-06-27T06:00:00,6.30961949354969e-12,5.7980287238024175e-12,2.4158453015843406e-13,9.322320693172514e-12,5.5919713304319885e-12,True
4256,2019-06-27T07:00:00,5.4569682106375694e-12,7.332801033044234e-12,2.8421709430404007e-13,5.6843418860808015e-12,6.430411758628907e-12,True
4257,2019-06-27T08:00:00,7.275957614183426e-12,6.252776074688882e-12,1.8474111129762605e-13,2.9558577807620168e-12,6.252776074688882e-12,True
4258,2019-06-27T09:00:00,7.275957614183426e-12,1.3983481039758772e-11,2.984279490192421e-13,1.0686562745831907e-11,4.284572696633404e-12,True
