SEQUENCE_NUMBER,CAMD_STATE,CAMD_FACILITY_NAME,CAMD_PLANT_ID,CAMD_UNIT_ID,CAMD_GENERATOR_ID,CAMD_NAMEPLATE_CAPACITY,CAMD_FUEL_TYPE,CAMD_LATITUDE,CAMD_LONGITUDE,CAMD_STATUS,CAMD_STATUS_DATE,CAMD_RETIRE_YEAR,MOD_CAMD_UNIT_ID,MOD_CAMD_GENERATOR_ID,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,EIA_NAMEPLATE_CAPACITY,EIA_BOILER_ID,EIA_UNIT_TYPE,EIA_FUEL_TYPE,EIA_LATITUDE,EIA_LONGITUDE,EIA_RETIRE_YEAR,PLANT_ID_CHANGE_FLAG,MOD_EIA_PLANT_ID,MOD_EIA_BOILER_ID,MOD_EIA_GENERATOR_ID_BOILER,MOD_EIA_GENERATOR_ID_GEN,MATCH_TYPE_GEN,MATCH_TYPE_BOILER
5718,NY,Astoria Energy,55375,CT1,CT1,170,Pipeline Natural Gas,40.7825,-73.8964,OPR,2006-03-23T00:00:00,0,CT1,CT1,NY,Astoria Energy,55375,CT1,170,,CT,NG,40.7825,-73.8964,0,0,55375,,,CT1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5719,NY,Astoria Energy,55375,CT1,ST1,180,Pipeline Natural Gas,40.7825,-73.8964,OPR,2006-03-23T00:00:00,0,CT1,ST1,NY,Astoria Energy,55375,ST1,255,HRSG1,CA,NG,40.7825,-73.8964,0,0,55375,1,1,ST1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2d: Modify IDs; remove leading letters"
5720,NY,Astoria Energy,55375,CT2,CT2,170,Pipeline Natural Gas,40.7825,-73.8964,OPR,2006-03-23T00:00:00,0,CT2,CT2,NY,Astoria Energy,55375,CT2,170,,CT,NG,40.7825,-73.8964,0,0,55375,,,CT2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5721,NY,Astoria Energy,55375,CT2,ST1,180,Pipeline Natural Gas,40.7825,-73.8964,OPR,2006-03-23T00:00:00,0,CT2,ST1,NY,Astoria Energy,55375,ST1,255,HRSG2,CA,NG,40.7825,-73.8964,0,0,55375,2,1,ST1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2d: Modify IDs; remove leading letters"
5722,NY,Astoria Energy,55375,CT3,CT3,170,Pipeline Natural Gas,40.7825,-73.8964,OPR,2011-04-03T00:00:00,0,CT3,CT3,NY,Astoria Energy II,57664,CT3,200,,CT,NG,40.781321,-73.896618,0,1,55375,,,CT3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5723,NY,Astoria Energy,55375,CT3,ST2,180,Pipeline Natural Gas,40.7825,-73.8964,OPR,2011-04-03T00:00:00,0,CT3,ST2,NY,Astoria Energy II,57664,ST2,250,HRSG3,CA,NG,40.781321,-73.896618,0,1,55375,3,2,ST2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2d: Modify IDs; remove leading letters"
5724,NY,Astoria Energy,55375,CT4,CT4,170,Pipeline Natural Gas,40.7825,-73.8964,OPR,2011-04-05T00:00:00,0,CT4,CT4,NY,Astoria Energy II,57664,CT4,200,,CT,NG,40.781321,-73.896618,0,1,55375,,,CT4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5725,NY,Astoria Energy,55375,CT4,ST2,180,Pipeline Natural Gas,40.7825,-73.8964,OPR,2011-04-05T00:00:00,0,CT4,ST2,NY,Astoria Energy II,57664,ST2,250,HRSG4,CA,NG,40.781321,-73.896618,0,1,55375,4,2,ST2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2d: Modify IDs; remove leading letters"
5801,NY,Athens Generating Company,55405,1,CT1,300,Pipeline Natural Gas,42.2728,-73.8492,OPR,2003-06-27T00:00:00,0,1,CT1,NY,Athens Generating Plant,55405,CT1,270.3,,CT,NG,42.2728,-73.8492,0,0,55405,,,CT1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5802,NY,Athens Generating Company,55405,1,ST1,141,Pipeline Natural Gas,42.2728,-73.8492,OPR,2003-06-27T00:00:00,0,1,ST1,NY,Athens Generating Plant,55405,ST1,136.9,HRSG01,CA,NG,42.2728,-73.8492,0,0,55405,1,1,ST1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2d: Modify IDs; remove leading letters"
5803,NY,Athens Generating Company,55405,2,CT2,300,Pipeline Natural Gas,42.2728,-73.8492,OPR,2003-05-12T00:00:00,0,2,CT2,NY,Athens Generating Plant,55405,CT2,270.3,,CT,NG,42.2728,-73.8492,0,0,55405,,,CT2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5804,NY,Athens Generating Company,55405,2,ST2,141,Pipeline Natural Gas,42.2728,-73.8492,OPR,2003-05-12T00:00:00,0,2,ST2,NY,Athens Generating Plant,55405,ST2,136.9,HRSG02,CA,NG,42.2728,-73.8492,0,0,55405,2,2,ST2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2d: Modify IDs; remove leading letters"
5805,NY,Athens Generating Company,55405,3,CT3,300,Pipeline Natural Gas,42.2728,-73.8492,OPR,2003-04-04T00:00:00,0,3,CT3,NY,Athens Generating Plant,55405,CT3,270.3,,CT,NG,42.2728,-73.8492,0,0,55405,,,CT3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
5806,NY,Athens Generating Company,55405,3,ST3,141,Pipeline Natural Gas,42.2728,-73.8492,OPR,2003-04-04T00:00:00,0,3,ST3,NY,Athens Generating Plant,55405,ST3,136.9,HRSG03,CA,NG,42.2728,-73.8492,0,0,55405,3,3,ST3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2d: Modify IDs; remove leading letters"
6052,NY,Binghamton Cogen Plant,55600,1,1,47,Pipeline Natural Gas,42.1073,-75.9283,LTCS,2018-01-09T00:00:00,2018,1,1,NY,Binghamton Cogen,55600,1,47.7,,GT,NG,42.107192,-75.927782,0,0,55600,,,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
6142,NY,Bayswater Peaking Facility,55699,1,1,60.5,Pipeline Natural Gas,40.6106,-73.7614,OPR,2002-07-01T00:00:00,0,1,1,NY,Bayswater Peaking Facility LLC,55699,1,60.5,,GT,NG,40.610654,-73.762218,0,0,55699,,,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
6143,NY,Bayswater Peaking Facility,55699,2,2,60.5,Diesel Oil,40.6106,-73.7614,OPR,2003-06-22T00:00:00,0,2,2,,,,,,,,,,,,,,,,,Manual CAMD Excluded,Manual CAMD Excluded
6190,NY,Edgewood Energy,55786,CT01,CT01,50,Pipeline Natural Gas,40.7861,-73.2931,OPR,2002-07-15T00:00:00,0,CT01,CT01,NY,Edgewood Energy LLC,55786,CT01,50,,GT,NG,40.7861,-73.2931,0,0,55786,,,CT01,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
6191,NY,Edgewood Energy,55786,CT02,CT02,50,Pipeline Natural Gas,40.7861,-73.2931,OPR,2002-07-15T00:00:00,0,CT02,CT02,NY,Edgewood Energy LLC,55786,CT02,50,,GT,NG,40.7861,-73.2931,0,0,55786,,,CT02,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
6192,NY,Shoreham Energy,55787,CT01,CT01,50,Diesel Oil,40.9572,-72.8664,OPR,2002-07-02T00:00:00,0,CT01,CT01,NY,Shoreham Energy LLC,55787,CT01,50,,GT,DFO,40.957053,-72.865877,0,0,55787,,,CT01,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
6193,NY,Shoreham Energy,55787,CT02,CT02,50,Diesel Oil,40.9572,-72.8664,OPR,2002-07-22T00:00:00,0,CT02,CT02,NY,Shoreham Energy LLC,55787,CT02,50,,GT,DFO,40.957053,-72.865877,0,0,55787,,,CT02,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
6271,NY,"Hawkeye Energy Greenport, LLC",55969,U-01,U-01,54,Diesel Oil,41.1056,-72.3767,OPR,2003-06-23T00:00:00,0,U-01,U-01,NY,Hawkeye Energy Greenport LLC,55969,U-01,54,,GT,KER,41.10603,-72.376155,0,0,55969,,,U-01,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
