source_excel_row,facility_id,unit_id,nyiso_name,nyiso_ptid,zone,epa_facility_name,source_id,source_sha256
45,2500,UCC001,Ravenswood CC 04,23820,J,Ravenswood Generating Station,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
46,2493,1,East River 1,323558,J,East River,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
47,2493,2,East River 2,323559,J,East River,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
48,56196,CTG7A,Astoria CC 1,323568,J,Poletti 500 MW CC,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
49,56196,CTG7B,Astoria CC 2,323569,J,Poletti 500 MW CC,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
50,55375,CT1,Astoria East Energy - CC1,323581,J,Astoria Energy,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
51,55375,CT2,Astoria East Energy - CC2,323582,J,Astoria Energy,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
52,55375,CT3,Astoria Energy 2 - CC3,323677,J,Astoria Energy,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
53,55375,CT4,Astoria Energy 2 - CC4,323678,J,Astoria Energy,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
54,7314,1,Flynn,23794,K,Richard M Flynn (Holtsville),NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
55,50292,GT1,Bethpage,23823,K,Bethpage Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
56,50292,GT2,Bethpage,23823,K,Bethpage Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
57,56188,1,Pinelawn Power 1,323563,K,Pinelawn Power,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
58,50292,GT4,Bethpage 3,323564,K,Bethpage Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
59,56234,1,Caithness_CC_1,323624,K,Caithness Long Island Energy Center,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
